Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Abbi Lake O'Neill,No info,No info,"Reparto, Guion, Dirección","Surviving in L.A., Dating in L.A., The Ones"
Jay Huguley,No info,1 premio,Reparto,"12 años de esclavitud, Los ojos de Tammy Faye, True Detective"
Robert Walden,25 de septiembre de 1943,5 nominaciones en total,"Reparto, Dirección, Guion","Brothers, Todo lo que usted siempre quiso saber sobre el sexo* pero nunca se atrevió a preguntar, Todos los hombres del presidente"
Cary-Hiroyuki Tagawa,27 de septiembre de 1950,1 premio,"Reparto, Producción, Equipos adicionales","Mortal Kombat, El planeta de los simios, Tekken"
Quinton 'Rampage' Jackson,20 de junio de 1978,No info,"Reparto, Producción","El equipo A, El vagón de la muerte, Muere otra vez"
Hector Echavarria,6 de diciembre de 1969,No info,"Reparto, Producción, Guion","The Cello, Remember me, Sin salida"
Alexandra Daddario,16 de marzo de 1986,2 premios y 8 nominaciones en total,"Reparto, Producción, Banda sonora","Baywatch: Los vigilantes de la playa, La matanza de Texas 3D, Percy Jackson y el ladrón del rayo"
Takehiro Hira,27 de julio de 1974,1 nominación en total,Reparto,"Giri/Haji: Deber/Deshonor, Shōgun, Monarch: El legado de los monstruos"
Carice van Houten,5 de septiembre de 1976,26 premios y 20 nominaciones en total,"Reparto, Producción, Guion","Juego de tronos, El libro negro, Valkiria"
Takashi Hasegawa,No info,No info,Reparto,No info
Zofia Stafiej,21 de junio de 1999,2 premios y 2 nominaciones,Reparto,"I never cry (Yo nunca lloro), 25 lat niewinnosci. Sprawa Tomka Komendy, Stulecie Winnych"
Kinga Preis,31 de agosto de 1971,11 premios y 11 nominaciones,"Reparto, Banda sonora","The Lure, Cisza, W ciemnosci"
Arkadiusz Jakubik,14 de enero de 1969,6 premios y 6 nominaciones,"Reparto, Dirección, Guion","Cicha noc, Soy un asesino, Prosta historia o milosci"
Penelope Tsilika,No info,1 premio y 4 nominaciones,Reparto,"Little England, Crímenes del futuro, Kala azar"
Dimitris Lalos,No info,1 nominación,"Reparto, Dirección, Guion","Ageli provaton, Without, Sasmos"
Michele Valley,No info,No info,Reparto,"Canino, Dos chicas brillantes, Singapore sling: O anthropos pou agapise ena ptoma"
Vanessa Schaefer,No info,No info,Reparto,"Blurred Lines, Dive, Dreamers"
James Mackenzie,No info,No info,Reparto,No info
Emma Murphy,No info,No info,Reparto,"Wonderland, The Deal Breaker, Hear a No"
Marissa Meizz,No info,No info,"Reparto, Vestuario","Satisfaction, The Drew Barrymore Show, Chrysopoeia"
Catarina Sousa,No info,No info,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Untitled Story, Hunting Joy, Caged"
Ray Tezanos,No info,No info,"Reparto, Producción, Guion",No info
Dan Stevens,10 de octubre de 1982,6 premios y 26 nominaciones,"Reparto, Producción, Banda sonora","Downton Abbey, The Guest, La bella y la bestia"
Alison Brie,29 de diciembre de 1982,8 premios y 27 nominaciones,"Reparto, Producción, Guion","GLOW, Community, Una joven prometedora"
Sheila Vand,27 de abril,2 premios y 3 nominaciones,Reparto,"Una chica vuelve a casa sola de noche, Argo, We the Animals"
Travis Farris,No info,No info,"Reparto, Producción","Dead on Arrival, Rustlers, Violent Ends (II)"
Blake Webb,7 de marzo,1 nominación,Reparto,"Por trece razones, Good Trouble, Mentes criminales"
