Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Elior Ilishah,No info,No info,"Reparto, Equipos adicionales","The Time and Place with John & Amir, No eXcape, Power Chord"
Effy Bashford,No info,No info,"Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección","The Darkest Corner, Demi, Just Remember"
Pippa Caddick,No info,No info,Reparto,"Witches of God, The Testing Point, The Big Question"
May Kelly,No info,No info,"Reparto, Producción","Mega Lightning, Pterodactyl, The Loch Ness Horror"
Jessie Crabbe,No info,No info,"Reparto, Casting, Equipos adicionales","The Valley of the Rats, We Married Too Young, Pneuma"
Darlene Henley,No info,No info,Reparto,No info
Marnie Mahannah,No info,1 premio y 1 nominación,"Reparto, Guion, Producción","So Help Me Todd, Round and Round, The Good Doctor"
Amy Argyle,21 de julio de 1979,1 premio y 1 nominación,"Reparto, Producción, Dirección","Frank & Lola, Sin rastro, The Lears"
Matthew Brady,No info,3 premios y 1 nominación,Reparto,"Hillbilly, una elegía rural, American Horror Story, MacGyver"
Piercey Dalton,No info,3 premios y 6 nominaciones,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Puertas abiertas, Interrogation, Bull"
Niels Arestrup,8 de febrero de 1949,6 premios y 8 nominaciones,"Reparto, Guion, Dirección","Un profeta, War Horse (Caballo de batalla), Diplomacia"
Patrick Bruel,14 de mayo de 1959,1 premio y 1 nominación,"Music Artist, Reparto, Composición","Sabrina (y sus amores), Le lait de la tendresse humaine, El nombre"
Irène Jacob,15 de julio de 1966,3 premios y 4 nominaciones en total,"Reparto, Equipo ejecutivo","La doble vida de Verónica, Tres colores: Rojo, Adiós, muchachos"
Robert Allen Cruz,No info,No info,"Reparto, Producción",No info
Bec Doyle,No info,No info,"Reparto, Dirección, Edición","American Satan, Christmas Tree Lane, Ballers"
Fabian Jaime,No info,No info,"Reparto, Producción, Guion","NCIS: Los Ángeles, Cold Case Files, Deep Undercover"
Jiiva,4 de enero de 1984,2 premios y 7 nominaciones,"Reparto, Producción","83, Raam, Ko"
Navdeep,26 de enero de 1986,No info,"Reparto, Composición","Aegan, Ala Vaikunthapurramuloo, Arindhum Ariyamalum"
Riya Suman,5 de septiembre de 1994,1 nominación,Reparto,"Top Gear, Majnu, Walking Talking Strawberry Icecream"
Luigi Cazzaniga,No info,No info,Reparto,"Il Mostro, Sei fratelli, Drop"
Cendrine Gourbin,No info,No info,"Reparto, Dirección, Guion","La boîte de Pandore, Quantum Trip, Rodin"
Jean Soubirou,No info,No info,Reparto,No info
Laetitia Dosch,1 de septiembre de 1980,7 premios y 3 nominaciones,"Reparto, Dirección, Guion","Bienvenida a Montparnasse, Le procès du chien, 9 meses"
Sergei Polunin,20 de noviembre de 1989,No info,"Reparto, Dirección, Guion","Asesinato en el Orient Express, Gorrión rojo, El cascanueces y los cuatro reinos"
Lou-Teymour Thion,No info,No info,Reparto,"Passion simple, Peur de rien, Mappemonde"
Andrianna Adebiyi,No info,No info,Reparto,No info
Ademola Adedoyin,No info,1 nominación,"Reparto, Producción","October 1, Knockout Blessing, The Bridge"
Twitch Badmus,No info,No info,Reparto,No info
Adrien Brody,14 de abril de 1973,16 premios y 42 nominaciones en total,"Reparto, Producción, Composición","El pianista, El gran hotel Budapest, El profesor (Detachment)"
Glenn Fleshler,5 de septiembre de 1968,1 nominación,Reparto,"Joker, Billions, Barry"
Richie Merritt,No info,No info,"Reparto, Banda sonora","White Boy Rick, Clean, Lola"
Kartik Aaryan,22 de noviembre de 1990,39 premios y 34 nominaciones,"Reparto, Producción","El estallido de la noticia, Luka Chuppi, SatyaPrem Ki Katha"
Sara Ali Khan,12 de agosto de 1995,15 premios y 29 nominaciones,Reparto,"Atrangi Re, Kedarnath, Simmba"
Randeep Hooda,20 de agosto de 1976,8 premios y 25 nominaciones,"Reparto, Producción, Dirección","Highway, Kick, Sultan"
Nicole Velasco Lockard,No info,No info,"Reparto, Casting","Ringolevio, Earlybird, Chicago Fire"
Meredith Johnston,No info,No info,"Reparto, Guion, Dirección","Wherever You Are, There You Go, Pink Moon, Pet Names"
Joshua Koopman,No info,3 premios y 2 nominaciones,"Reparto, Producción","How to Rob, Earlybird, Ringolevio"
Anta Fily Gaye,No info,No info,Reparto,No info
Jean-François Ogoubiyi,No info,No info,Reparto,"FBI, The Blacklist, Lupo"
Djaka Souaré,No info,4 premios y 7 nominaciones,"Reparto, Producción, Dirección","Cut Me If You Can, Jazz in Wakanda, Black Power"
Alena Yiv,30 de noviembre de 1979,2 premios y 4 nominaciones,"Reparto, Especialistas, Dirección de la segunda unidad o asistencia a dirección","Asia, Blue Natalie, The Last Caravan"
Shira Haas,11 de mayo de 1995,7 premios y 15 nominaciones en total,"Reparto, Banda sonora","Shtisel, Broken Mirrors, Unorthodox"
Tamir Mula,No info,No info,Reparto,"Fauda, Asia, Something To Live For"
Veronica Roy,No info,3 premios y 1 nominación,"Reparto, Guion, Producción","Balance of the Force, Eat the Pasta, Mentes criminales"
Traci Carr,No info,No info,"Reparto, Casting, Producción","Reunion of Champions, Fuzz & Malloy, Dracula in a Women's Prison"
Paul Doe,No info,No info,Reparto,No info
Clare Blackwood,No info,No info,"Reparto, Guion, Producción","L.A.R.P.D., Crit, Couples Therapy"
Andrew Bushell,No info,No info,"Reparto, Equipos adicionales","Jump, Darling, The Wedding Planners, Sucesor designado"
Samantha Wan,No info,1 premio y 6 nominaciones,"Reparto, Dirección, Guion","Second Jen, Private Eyes, Lady Ada's Secret Society"
Samit Gambhir,No info,No info,Reparto,"Happy New Year, Tandav, Breathe: Into the Shadows"
Vijay Kumar Dogra,No info,1 nominación,Reparto,"12th Fail, Talvar, Hindi Medium"
Vangelis Anastasiou,No info,No info,Reparto,"Before the Rooster Crows, Astoria, Monoi mazi"
Despina Antoniou,No info,No info,Reparto,No info
Spyros Dimou,No info,No info,Reparto,No info
Sorcha Groundsell,1998,1 premio,Reparto,"Far from the Apple Tree, The Innocents, The Harrowing"
Will Nash,No info,No info,"Reparto, Producción, Guion","Silentville, Cooking with Soul, An Island in Ruin"
Nina Yndis,No info,3 premios y 2 nominaciones,"Reparto, Producción, Equipos adicionales","Peaky Blinders, Who Goes There?, The Box"
Kyle Brookes,No info,4 premios y 1 nominación,"Reparto, Producción, Guion","A Light Through Coloured Glass, Once a Year on Blackpool Sands, Brontë"
Macaulay Cooper,No info,No info,Reparto,"Casualty, The Bay, A Light Through Coloured Glass"
Wendy Laurence James,No info,No info,Reparto,"Once a Year on Blackpool Sands, Wings, Dads"
Michael Ajao,No info,No info,Reparto,"Attack the Block, Última noche en el Soho, Testigo mudo"
Doyin Ajiboye,No info,1 premio,Reparto,"Dolapo Is Fine, The Following Events Are Based on a Pack of Lies, Chloe"
Amy Bowden,No info,1 premio,Reparto,"The Nest, Catherine Tate's Nan, Jekyll and Hyde"
Mia Gonzalez,No info,No info,Reparto,"Apolo 10 1/2: Una infancia espacial, Omniboat: A Fast Boat Fantasia, Just the Janitor"
Rajee Narinesingh,No info,No info,Reparto,"Regina, South Beach High, Bella Maddo"
Gabrielle Alexander,No info,3 premios y 4 nominaciones,"Reparto, Dirección, Producción","El Reggaetonero, Homemaker, Noman"
Aaron Schwartz,4 de enero de 1981,1 premio y 1 nominación,"Reparto, Guion, Producción","Pesos pesados, Somos los mejores, Gossip Girl"
Matthew Dennis Lewis,No info,5 premios,"Reparto, Guion, Producción","Entrevista con el vampiro, Gambito de dama, Godless"
Russell Dennis Lewis,No info,No info,"Reparto, Especialistas","Gambito de dama, Godless, Blue Bloods"
Ryan Phoenix,No info,No info,Reparto,"Wild West Chronicles, Ein Man Stande, Stranger Things"
Richard Phillis,No info,No info,Reparto,"Maggie Shayne's Embrace the Twilight, Crops, Cleanland"
Jessica Buchman,No info,No info,Reparto,No info
Blanca Suárez,21 de octubre de 1988,9 premios y 6 nominaciones,Reparto,"El bar, El internado, La piel que habito"
Javier Rey,25 de febrero de 1980,7 premios y 5 nominaciones,Reparto,"Fariña, Sin fin, Not the End"
Pablo Molinero,No info,1 premio y 3 nominaciones,"Reparto, Guion","La peste, El verano que vivimos, La mort de Guillem"
Laura Osma,No info,1 premio,Reparto,"El Suspiro del Silencio, Pimpinero, Sin Senos Sí Hay Paraíso"
Juan Carlos Velis,24 de agosto de 1973,1 nominación,"Reparto, Guion, Producción","El asesino (War), El lado siniestro de la luna, Una vida a lo grande"
Fernando Gaviria,No info,No info,"Reparto, Producción, Guion","Dos policías rebeldes II, Rumis, La Piñateria"
Aurea,No info,1 premio,"Reparto, Banda sonora","Nelo e Idália, A Escritora, Nazaré"
Dalila Carmo,24 de agosto de 1974,11 premios y 16 nominaciones,Reparto,"Florbela, Na Corda Bamba, Valor da Vida"
Catarina Lima,No info,1 nominación,"Reparto, Equipos adicionales","A Escritora, Doida por Ti, Rosa Fogo"
Tendaiishe Chitima,No info,No info,Reparto,"Gonarezhou: The Movie, Into Infinity, Cook Off"
Jackson Chivhanga,No info,No info,Reparto,No info
Charlene Mangweni,No info,No info,"Reparto, Equipos adicionales","Gonarezhou: The Movie, State of Malambia, Lord of Kush"
Andrea Riseborough,20 de noviembre de 1981,22 premios y 25 nominaciones en total,"Reparto, Producción, Banda sonora","Birdman o (La inesperada virtud de la ignorancia), Oblivion, Possessor Uncut"
Michael Landes,No info,1 nominación,"Reparto, Producción","Cruel Summer, La oferta, Cazadores de leyendas"
Shereen Reda,No info,4 premios,Reparto,"The Blue Elephant, Photocopy, Out of Order"
Ali Liebert,20 de agosto de 1981,6 premios y 6 nominaciones,"Reparto, Dirección, Producción","El canguro de Navidad, One of Us Is Lying, Family Law"
Vera Graziadei,6 de noviembre,19 premios y 4 nominaciones,"Dirección, Reparto, Guion","Peep Show, The Book of Vision, The Silent Canary"
Alex Feldman,19 de octubre,1 premio,"Reparto, Dirección, Producción","The Americans, Eternity Hill, Ley y orden"
Alejandra Meco,25 de mayo de 1990,No info,"Reparto, Guion y continuidad","El secreto de Puente Viejo, Acacias 38, The Aboves and the Belows"
Daria Krauzo,No info,No info,Reparto,"Sky Rojo, Mar de plástico, Nest of Vampires"
Rodrigo Recio,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección","Jaula, Cuerpo de élite, Ana Tramel. El juego"
Moritz Bleibtreu,13 de agosto de 1971,12 premios y 11 nominaciones,"Reparto, Producción, Dirección","Llamando a las puertas, El experimento, Im Juli"
Nadja Uhl,23 de mayo de 1972,13 premios y 15 nominaciones,"Reparto, Banda sonora","RAF Facción del ejército rojo, Operation Zucker, ZERV - Zeit der Abrechnung"
Emily Kusche,15 de enero de 2002,1 nominación,Reparto,"Sløborn, Das perfekte Geheimnis, Dogs of Berlin"
Michael Gandolfini,10 de mayo de 1999,No info,"Reparto, Guion, Producción","Santos criminales, Cherry, Paisaje con mano invisible"
Austin Abrams,2 de septiembre de 1996,1 premio,"Reparto, Producción, Banda sonora","Ciudades de papel, Revancha ya, Historias de miedo para contar en la oscuridad"
Jake Ryan,26 de agosto,1 nominación,Reparto,"Asteroid City, Eighth Grade, Moonrise Kingdom"
Monee Phillips,No info,No info,Reparto,"Da Neighborhood Dopemane, Too Little Too Late, Caught in A Trapp"
Marie Richards,No info,No info,"Reparto, Especialistas","Blinded by the Bag, Theme Night 2021, Sinthetic, the movie"
Robin Michelle Lee,No info,No info,Reparto,"The Angry Black Girl and Her Monster, Chronology, The Present"
Libby Wattis,No info,10 premios y 6 nominaciones,"Reparto, Producción",No info
Caroline Vella,No info,2 premios,Reparto,"Lavender, Emmerdale, Bikini Girls vs Dinosaurs"
John Shepard,No info,No info,Reparto,"Sneakers (Los fisgones), Juego de patriotas, Mirada de ángel"
Maggie Carr,No info,1 premio,Reparto,"The Place of the Skull, Back for Good, Conversations w/ My Ex"
Eamon McGee,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Producción","The Race, Rising Fear, Judy's Dead"
Kiara Advani,31 de julio de 1992,26 premios y 41 nominaciones,Reparto,"Shershaah, Guilty, Kabir Singh"
Taher Shabbir,7 de enero de 1987,No info,"Reparto, Dirección, Producción","Fan, Hundred, Guilty"
Akansha Ranjan Kapoor,18 de septiembre de 1993,1 premio y 1 nominación,Reparto,"Guilty, Monica O My Darling, Satyajit Ray"
Lucas Lacerda Albuquerque,No info,No info,Reparto,"Lovebug, Discover Indie Film, O Mundo Aqui Dentro"
Clei Grött,No info,No info,Reparto,"Submersos, Das Profundezas, Discover Indie Film"
Vanessa Sandre,No info,No info,"Reparto, Producción, Dirección","O Prazer é Todo Meu, Nuvem, Quito 2023"
Philippe Hédoux,No info,No info,Reparto,"Rendez-vous avec Diego, Le Poisson rouge, La Lettre"
Marine Roualdes,No info,1 nominación,Reparto,No info
Ieuan Coombs,No info,No info,"Reparto, Dirección, Guion","Newbie, The Next One, Older Gods"
Une Das Reich,No info,No info,Reparto,No info
Becky Fowler,No info,No info,Reparto,No info
Arabella Landrum,No info,No info,Reparto,"Antebellum, Easy Does It, Dark Circles"
Jena Malone,21 de noviembre de 1984,13 premios y 22 nominaciones,"Reparto, Producción, Música","The Neon Demon, Los juegos del hambre: Sinsajo - Parte 2, Contact"
Eric Lange,19 de febrero de 1973,2 premios y 3 nominaciones,"Reparto, Producción, Banda sonora","Fuga en Dannemora, Narcos, Perdidos"
Ethan Cockrill,No info,No info,"Reparto, Guion","Coyote, 32 Goldfish, Unknown Heavens"
Robert Brooks,No info,1 premio,"Dirección, Producción, Edición","Background Noise, It's Basic, Kevin Garnett: Anything Is Possible"
T.J. Hunt,No info,No info,"Arte, Producción, Equipos adicionales","Chinatowne Special with Rice, The Death and Resurrection of Void Star, The Librarians"
Elisa Volpatto,No info,1 premio y 1 nominación,Reparto,"Um animal menor, Mulher de Fases, Buenos días, Verônica"
Branca Messina,No info,2 premios y 1 nominación,Reparto,"Loop, Não Por Acaso, A Divisão"
Sílvia Lourenço,No info,8 premios y 5 nominaciones,"Reparto, Guion, Equipos adicionales","Contra Todos, Quanto Dura o Amor?, O Cheiro do Ralo"
Miyu Tomita,No info,5 nominaciones,"Reparto, Música, Banda sonora","Made in Abyss, Sabikui Bisco, Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~"
Mariya Ise,No info,4 nominaciones,"Reparto, Música, Banda sonora","Made in Abyss, The Promised Neverland, Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito"
Shiori Izawa,No info,1 nominación,"Reparto, Música, Banda sonora","Made in Abyss, Gakusen toshi asterisk, Witch Craft Works"
Ailish Symons,No info,1 premio,"Reparto, Producción, Dirección","The Widow, Coyote, Capture"
Jason Kavan,No info,No info,Reparto,"Emmerdale, Nice Mike, The Napoleon Complex"
Alice Baxter,No info,No info,Reparto,No info
Katie Boland,14 de febrero de 1988,16 premios y 8 nominaciones,"Reparto, Producción, Dirección","Lolz-ita, Long Story, Short, The Master"
Robert Woo,No info,1 premio,"Producción, Guion, Reparto","Un espía y medio, East of Hollywood, The Imitation Game"
Clark Moore,18 de julio de 1977,1 premio,"Reparto, Producción","Dahmer - Monstruo: La historia de Jeffrey Dahmer, Yellowstone, Women of the Movement (Serie de TV)"
Paul Thomas Arnold,2 de octubre,No info,Reparto,"The Real Bros of Simi Valley, Chicken Girls: College Years, Rosewood"
Brian Cutler,No info,No info,"Reparto, Producción, Dirección","Catalina Caper, Emergencia, Mork y Mindy"
Balázs Bodolai,No info,No info,Reparto,"Legjobb tudomásom szerint, Hasadék, Sarajevo Songs of Woe"
Gabriella Hámori,1 de noviembre de 1978,6 premios,Reparto,"The Exam, Portraits in Dramatic Time, Budapest"
Attila Menszátor-Héresz,No info,No info,Reparto,"Mindörökké, Scirocco, Strike Back"
Carlos Segura,No info,No info,Reparto,"Fear the Walking Dead, Belascoarán, Coyote"
Fernanda Acosta,No info,No info,Reparto,No info
Bruno Dominguez,No info,No info,Reparto,"Coyote, Días Negros, Hypocrisis"
Thitipoom Techaapaikhun,No info,No info,Reparto,"Classic Again, Wolf, Manee Phayabat"
Ranchrawee Uakoolwarawat,No info,No info,Reparto,"Chinatown Chacha, Classic Again, Tricky in Love"
Gee Sutthirak Subvijitra,No info,No info,Reparto,"Switch On, 4 Kings 2, Classic Again"
Kyla Garcia,No info,1 premio y 1 nominación,"Reparto, Guion, Producción","Las chicas del cable, Agentes de S.H.I.E.L.D., Time Capsule"
Phillip Garcia,24 de mayo de 1988,No info,Reparto,"Sprung, Scandal, Mentes criminales"
John Lehr,25 de noviembre de 1967,No info,"Reparto, Guion, Producción","10 Items or Less, Quick Draw, La cosa más dulce"
William C Cole,No info,No info,"Reparto, Guion, Producción","Café Daughter, Eaux Turbulentes, Northern Rescue"
Stephanie Aubertin,No info,No info,"Reparto, Equipos adicionales, Producción","Eaux Turbulentes, Unsettled, Trickster"
Ye Gao,No info,4 premios y 5 nominaciones,"Reparto, Dirección de la segunda unidad o asistencia a dirección","La eliminación, Li xiang zhi cheng, Di er shi tiao"
Johnny Huang,30 de noviembre de 1992,11 premios y 11 nominaciones,"Reparto, Producción, Música","Hong hai xing dong, Fa zui, Po bing xing dong"
Sichun Ma,14 de marzo de 1988,8 premios y 25 nominaciones,"Reparto, Banda sonora","Zuo er, Qi yue yu an sheng, Cheng Hong Nian Dai"
Moa Gammel,6 de octubre de 1980,3 nominaciones,"Reparto, Dirección, Casting","Déjame entrar, Tack för senast, Irene Huss"
Madeleine Martin,No info,1 premio y 1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección","På din story, Alive, Riverside"
Trine Wiggen,No info,2 nominaciones,"Reparto, Equipos adicionales","En folkefiende, Varg Veum - Flores amargas, Cold Prey 3"
Sebastian Urzendowsky,28 de mayo de 1985,5 premios y 2 nominaciones,"Reparto, Dirección, Guion","Camino a la libertad, Mitten in Deutschland: NSU, Der Turm"
Blanche-Neige Huri,No info,No info,Reparto,No info
Patrick Descamps,13 de julio de 1956,2 nominaciones,"Reparto, Banda sonora","Escapando, Section Zéro, La memoria del asesino"
Achyut Prashast Singh,20 de agosto de 1999,No info,"Guion, Dirección, Producción","Taapmaan, Vishwavijay, Himaang"
Gabriel Bateman,10 de septiembre de 2004,No info,"Reparto, Banda sonora","Nunca apagues la luz, Muñeco diabólico (Child's Play), Salvaje"
Elisha Henig,30 de octubre,2 nominaciones,"Reparto, Guion, Music Artist","The Drop, The Sinner, Mythic Quest: banquete de cuervos"
Deborah Zoe,1 de octubre,No info,Reparto,"The Guiding Light, Pensacola: Alas de oro, Bones"
Steve Fitzgerald,No info,No info,Reparto,No info
Samira Nabie,No info,No info,Reparto,No info
Christoph Niemann,No info,No info,Reparto,No info
James Abrams,No info,11 premios y 18 nominaciones,"Edición, Dirección, Producción","A Tiger in the Subway, Hound, Sentinel: Or Mythology and Methodology"
Frank Mosley,26 de septiembre de 1983,4 premios y 9 nominaciones,"Reparto, Dirección, Producción","Freeland, The Event, The Ghost Who Walks"
Matthew Shaw,No info,No info,"Reparto, Composición","Dipso, Tormenting the Hen, The Chosen One"
Makrand Deshpande,6 de marzo de 1966,1 premio y 1 nominación,"Reparto, Guion y continuidad, Guion","Sarfarosh, Hanan, Jailer"
Manjari Fadnnis,10 de julio de 1984,2 premios y 5 nominaciones,"Reparto, Banda sonora","Jaane Tu... Ya Jaane Na, Rok Sako To Rok Lo, Subhapradam"
Priyadarshan Jadhav,No info,2 nominaciones,"Reparto, Guion, Dirección","Choricha Mamla, Maska, Jaago Mohan Pyare"
Sami Bouajila,26 de mayo de 1966,9 premios y 3 nominaciones,"Reparto, Banda sonora","Estado de sitio, Drôle de Félix, Bik Eneich: Un fils"
Eriq Ebouaney,3 de octubre de 1967,1 nominación,Reparto,"3 días para matar, El reino de los cielos, Transporter 3"
Samy Seghir,No info,No info,Reparto,"Noche de venganza, 7 días en Entebbe, La tierra y la sangre"
Emalie Noelani,No info,No info,"Reparto, Dirección de casting, Producción","Magnum, The Marry Me Pact, ATL Homicide"
Alex May,No info,No info,"Equipos adicionales, Reparto, Producción","Tenebra, Tenebra: Countdown, Rejuvenation"
Wayne Wilkins,No info,No info,"Reparto, Guion, Producción","Get the Bag, Land Heist, Unit Eleven"
Jessica Barden,21 de julio de 1992,1 premio y 4 nominaciones,Reparto,"Hanna, Lejos del mundanal ruido, Langosta"
Michael McKean,17 de octubre de 1947,10 premios y 27 nominaciones en total,"Reparto, Dirección, Composición","This Is Spinal Tap, Un poderoso viento, El juego de la sospecha (Cluedo)"
Marcia Gay Harden,14 de agosto de 1959,11 premios y 39 nominaciones en total,"Reparto, Producción","Mystic River, La niebla de Stephen King, Pollock. La vida de un creador"
Hai-Qing,12 de enero de 1978,17 premios y 31 nominaciones,Reparto,"Hong hai xing dong, Xiao huan xi, Xi Fu De Mei Hao Shi Dai"
Liang Jingdong,No info,1 nominación,"Reparto, Dirección de arte, Diseño de producción","Más allá de las montañas, Naturaleza muerta, Pickpocket"
Yu Zhang,No info,4 premios y 17 nominaciones,Reparto,"An elephant sitting still, Wo bu shi yao shen, Wu ming zhi bei"
Li Ma,28 de junio de 1982,15 premios y 9 nominaciones,"Reparto, Producción","Zhe ge sha shou bu tai leng jing, Du xing yue qiu, Xiu xiu de tie quan"
Zhiyong Zhang,No info,No info,Reparto,"Manchurian Tiger, The Kidnapping, Xi huan gao xing ai"
Shawn Yue,13 de noviembre de 1981,3 premios y 9 nominaciones,"Reparto, Banda sonora","Juego sucio, Juego sucio 2, Yat nim mou ming"
Jessie Li,5 de diciembre de 1992,8 premios y 4 nominaciones,"Reparto, Equipos adicionales","Dap huet cam mui, Héctor y el secreto de la felicidad, Guai wu xian sheng"
Kara Wai,3 de febrero de 1960,30 premios y 22 nominaciones,Reparto,"Dragón, Hang wan si ngo, Las garras de la Tigresa"
Xian Li,19 de octubre de 1991,11 premios y 10 nominaciones,"Reparto, Banda sonora","Qin ai de, re ai de, He shen, Jian wang chao"
Jessie Li,5 de diciembre de 1992,8 premios y 4 nominaciones,"Reparto, Equipos adicionales","Dap huet cam mui, Héctor y el secreto de la felicidad, Guai wu xian sheng"
Julian Ben David,No info,No info,Reparto,No info
Lucas Haynes,No info,No info,"Reparto, Dirección, Guion","White Odourless Bitter, Donde viven los monstruos, Sunny Side of the Street"
James Hewison,No info,No info,"Producción, Reparto, Guion","Nitram, Warm Blood, Carnation"
Astrid Bergès-Frisbey,26 de mayo de 1986,3 premios y 2 nominaciones,Reparto,"Rey Arturo: La leyenda de Excalibur, Orígenes, Piratas del Caribe: En mareas misteriosas"
James Thierrée,No info,3 premios y 2 nominaciones,"Reparto, Dirección, Música","Tabac Rouge, Monsieur Chocolat, Les illusions"
Anouk Grinberg,20 de marzo de 1963,5 premios y 4 nominaciones,Reparto,"Mi hombre, La fille du magicien, Sale gosse"
Patrick Anthony,No info,No info,Reparto,No info
Robert Ball,No info,No info,"Reparto, Equipos adicionales",No info
Lisa Banks,No info,No info,Reparto,No info
Morgan Saylor,26 de octubre de 1994,2 nominaciones,Reparto,"Derribad al hombre, Homeland, White Girl"
Ben Rosenfield,1 de agosto de 1992,1 nominación,"Reparto, Guion, Producción","6 Years, Boardwalk Empire, Twin Peaks"
Carrie Cohen,No info,No info,Reparto,"Skeletons, El ladrón, su esposa y la canoa, Hungry Joe"
Ian Reddington,25 de septiembre de 1957,3 nominaciones,"Reparto, Producción","Los inmortales, Zoe and the Astronaut, Los hermanos Sisters"
Neil Summerville,No info,No info,Reparto,"The Brink, Bloody Cakes, Trumped"
Daniel Faraldo,4 de noviembre de 1949,1 premio y 4 nominaciones,"Reparto, Guion, Producción","Mayans M.C., Bounty Hunters, Mentes criminales: Sin fronteras"
Isak Férriz,20 de junio de 1979,3 premios y 1 nominación,Reparto,"El cuerpo en llamas, Infiesto, Gigantes"
Yolanda Sey,No info,No info,"Reparto, Banda sonora","By Any Means, Still Here, Asfalt"
Brian Geraghty,13 de mayo,3 premios y 10 nominaciones,"Reparto, Producción, Banda sonora","En tierra hostil, Bobby, El vuelo (Flight)"
Sharon Leal,17 de octubre de 1972,3 nominaciones,"Reparto, Producción, Banda sonora","Dreamgirls, Addicted, Profesores de Boston"
Bethany Joy Lenz,2 de abril de 1981,7 nominaciones,"Reparto, Dirección, Producción","Dexter, Pearson, Anatomía de Grey"
Ovidiu Crisan,No info,No info,"Reparto, Composición","No identificado, Berliner, La madre"
Ion Sapdaru,No info,3 premios y 2 nominaciones,Reparto,"4 meses, 3 semanas, 2 días, 12:08 al este de Bucarest, Afacerea Est"
