Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Richard Bradford,10 de noviembre de 1934,No info,Reparto,"Los intocables de Eliot Ness, La leyenda de Billie Jean, Más American Graffiti"
Ron Randell,8 de octubre de 1918,No info,Reparto,"Rey de reyes, Bésame, Kate, Bulldog Drummond Strikes Back"
Anton Rodgers,10 de enero de 1933,No info,"Reparto, Banda sonora","Un par de seductores, El mercader de Venecia, El cuarto protocolo"
Saswata Chatterjee,19 de diciembre de 1970,8 nominaciones,"Reparto, Música","Kahaani, El infiltrado, Dil Bechara"
Nandita Das,7 de noviembre de 1969,14 premios y 22 nominaciones,"Reparto, Animación, Dirección","Firaaq, Fuego (Fire), Manto"
Kaushik Sen,19 de septiembre de 1968,1 premio y 1 nominación,Reparto,"Lion, Aamaar Bhuvan, Byomkesh Pawrbo"
Michael B. Jordan,9 de febrero de 1987,44 premios y 89 nominaciones en total,"Reparto, Producción, Dirección","Black Panther, Creed. La leyenda de Rocky, Fruitvale Station"
Aaron Davis,No info,No info,Reparto,"People of Earth, Fahrenheit 451, Incorporated"
Cindy Katz,No info,No info,Reparto,"Heat, Sin límites, La edad de la inocencia"
Sanaa Lathan,19 de septiembre de 1971,12 premios y 29 nominaciones en total,"Reparto, Producción, Dirección","Alien vs. Predator, Love & Basketball, Algo nuevo"
Ricky Whittle,23 de noviembre de 1981,1 premio y 5 nominaciones,Reparto,"En tierra de Jane Austen, Hollyoaks, American Gods"
Lyriq Bent,3 de enero de 1974,1 premio y 3 nominaciones,"Reparto, Producción, Guion","Acrimony, Nola Darling, El libro de los negros"
Aaron Taylor-Johnson,13 de junio de 1990,7 premios y 25 nominaciones en total,"Reparto, Producción, Guion","Kick-Ass: Listo para machacar, Nowhere Boy, Animales nocturnos"
Billy Bob Thornton,4 de agosto de 1955,32 premios y 57 nominaciones en total,"Reparto, Guion, Dirección","El otro lado de la vida, Un plan sencillo, El hombre que nunca estuvo allí"
Odessa Young,6 de marzo de 1998,10 premios y 3 nominaciones,"Reparto, Banda sonora","Richard dice adiós, Nación salvaje, Shirley"
Alex Pettyfer,10 de abril de 1990,7 premios y 8 nominaciones,"Reparto, Producción, Dirección","Magic Mike, Elvis & Nixon, In Time"
Jennifer Morrison,12 de abril,10 premios y 17 nominaciones,"Reparto, Producción, Dirección","House, Érase una vez, Star Trek"
Nicola Peltz Beckham,9 de enero de 1995,2 premios y 4 nominaciones,"Reparto, Dirección, Guion","Lola, Bienvenidos a Chippendales, The Obituary of Tunde Johnson"
Dayana Esebe,No info,No info,Reparto,"Rich Flu, Ima, Coloré"
Herilia Mabwisi,No info,No info,Reparto,"Le griot Tshilanda, Heart of Africa, Menace Commune"
Eddie Muanza,No info,No info,Reparto,No info
Plotin Dianani,No info,No info,Reparto,"Maki'la, Après coup, Kadogo"
Donald MacLean Jr.,No info,No info,"Reparto, Guion, Producción","Bummed, Blumhouse. Jóvenes y brujas, La Facción Octubre"
David Buchanan,No info,No info,"Reparto, Dirección de fotografía y cámara, Sonido","2 Finesse, Becky, Another Period in Time"
Teresa Edwards,No info,No info,"Producción, Reparto, Edición","Brotherly Love, Brotherly Love, High Stakes Game"
Tenéa Miller,No info,No info,Reparto,No info
Shemss Audat,No info,No info,Reparto,"Aïcha, No Limit, Interpol"
Christophe Bouquet,No info,No info,Reparto,No info
Jan Kounen,No info,2 premios y 2 nominaciones,"Dirección, Guion, Reparto","Blueberry: La experiencia secreta, Vibroboy, 8"
Nick Puya,No info,No info,Reparto,"Flamingo Heist, The Critic, Creator(s)"
Brandon Scott,No info,No info,Reparto,No info
Alex Kingsman,No info,No info,"Reparto, Guion, Dirección de casting","Dracul, The Untold Story of William Omega, Form 1"
Arash Aasefi,No info,1 nominación,Reparto,"Rastakhiz: Rooze Rastakhiz, Emkane Mina, When I Became a Butterfly"
Arefeh Akbari,No info,No info,Reparto,"When I Became a Butterfly, To Va Man, Ghessehaye Sajjad"
Azarmidokht Azizi,No info,No info,Reparto,No info
Robert T. Cunningham,No info,No info,"Reparto, Guion, Dirección de casting","Mamá y papá, Knives and Skin, The Big Leap: El gran salto"
Ross Turkington,No info,No info,Reparto,"Better Days, Helga, At the Crossroads Down Yonder"
Ainaz Azarhoush,No info,No info,Reparto,"Mahi va gorbeh, The Paternal House, Khook"
Juan Hasan,No info,No info,Reparto,No info
Ilana Azria,No info,No info,Reparto,"Fujisan, Rebirth, Flamboyante"
Jeremy DeJesus,No info,No info,"Arte, Reparto","God Forgive Us, Captive, Flamboyante"
Yohan Doto,No info,No info,Reparto,No info
Clayne Crawford,20 de abril de 1978,6 premios y 8 nominaciones,"Reparto, Producción, Dirección","Un paseo para recordar, Arma letal, El perfecto anfitrión"
Jen Nikolaisen,No info,No info,"Reparto, Producción","Mujercitas, Un plan irresistible, Navy: Investigación criminal"
Alex Bodine,No info,No info,"Especialistas, Reparto, Equipos adicionales","El paraíso perdido, Permanent Press, Masterpiece"
Julia Crytser,No info,No info,"Cámara y electricidad, Reparto, Edición","Midnight Runner, When We Were Young, Chester"
Jesse Perry,No info,No info,Reparto,No info
Faranak Moradi,No info,17 premios y 3 nominaciones,"Dirección, Reparto, Guion","M Like Mobius, Mirror, I zohreh"
Vico Escorcia,14 de junio de 1996,1 premio y 3 nominaciones,Reparto,"Los crímenes de Mar del Norte, Eddie Reynolds y Los Ángeles de Acero, Firma aquí"
Jacob Vargas,18 de agosto de 1971,4 premios y 8 nominaciones,"Reparto, Producción","Sr. Iglesias, Hijos de la anarquía, Traffic"
Joseph Gordon-Levitt,17 de febrero de 1981,26 premios y 76 nominaciones en total,"Reparto, Producción, Guion","Origen, Looper, Don Jon"
Alfredo J. Ruiz,No info,No info,Reparto,No info
Reid Suttles,No info,No info,"Reparto, Dirección, Dirección de fotografía y cámara","Perfect Timing, The Cherry Orchard, Dead Weight"
Sophie Leonard,No info,No info,Reparto,"Platónico, Fantasy Island, Alex/October"
Charlotte Hensley,No info,No info,Reparto,No info
Dolores Heredia,6 de octubre de 1966,3 premios y 8 nominaciones,"Reparto, Banda sonora","En el punto de mira, Santitos, Vacaciones en el infierno"
Kristyan Ferrer,14 de febrero de 1995,5 premios y 4 nominaciones,"Reparto, Banda sonora","Sin nombre, Good Day, Ramon, 600 Millas"
Juan Pablo de Santiago,No info,3 nominaciones,"Reparto, Dirección de la segunda unidad o asistencia a dirección","Voy a explotar, Sueño en otro idioma, Luna negra"
Jacob Betts,No info,No info,"Reparto, Dirección, Guion","TorchQuest, Brotherly Lies, Ominous Thrill"
Olive Jane Lorraine,No info,No info,"Reparto, Guion, Dirección","Jelly, Day by Day, Honey"
Safe Bashir,No info,No info,Reparto,No info
Alex Bidal Charles,No info,No info,Reparto,No info
West Patawa Charles,No info,No info,Reparto,No info
Christopher Howe,No info,No info,Reparto,No info
Drew Kutnick,No info,No info,Reparto,"Alive: A New Life Program, The Vixen of Vengeance, Alive 2: Immoral Choices"
Brian Nelson Jr.,No info,2 premios y 1 nominación,"Reparto, Dirección, Guion","Marbles, The Talented Tenth, Chicago P.D."
Ailbhe Cowley,No info,No info,Reparto,"Vikingos: Valhalla, Flora y su hijo Max, Barber"
Alex Deegan,No info,1 premio y 2 nominaciones,Reparto,"First Disco, Flora y su hijo Max, The Sniper's Daughter"
Tony Doyle,No info,1 nominación,"Reparto, Dirección, Guion","Sing Street, Guard Up, Match"
Darbha Appaji Ambarisha,No info,No info,Reparto,"Karthikeya 2, K.G.F: Chapter 2, Radhe Shyam"
Prasad Chandekar,No info,No info,Reparto,No info
Mahesh Pawan,No info,No info,Reparto,No info
Daniel Curalli,No info,No info,Reparto,"Newsman, Forget Me Not, Loading Dock"
Wynn Siu,No info,No info,Reparto,"Motherboard, Bunny Man, Snatch Me Good"
Emilie Aldersjøen,No info,No info,Reparto,No info
Aleksander Sylvan,No info,No info,"Reparto, Producción","Oculi - Det eneste vitnet, Utdrikningslaget, Flus"
Christoffer Nilsson,No info,No info,"Reparto, Equipos adicionales","Thomas mot Thomas (en sensasjonell teori om det ubetydelige livet i multiverset), Raspberry1508, Oculi - Det eneste vitnet"
Andrew Martin,No info,1 nominación,Reparto,"The Incredible 25th Year of Mitzi Bearclaw, The Fields of Dying Rabbits, Fire Song"
Kristen Martin,No info,No info,Reparto,No info
Azdin Zaman,No info,No info,"Reparto, Equipos adicionales","Utopia Falls, Orphan Black, Bella y bestia"
Markos Renieris,No info,No info,"Reparto, Banda sonora",No info
Robin Antoinette,No info,No info,Reparto,"EnVz Studios: When He Changed My Name, Ashes That Swarm, Halloween Kickback"
Kingston Beacham,No info,No info,Reparto,No info
Kimberly Brooks,No info,No info,No info,No info
Barun Chanda,30 de mayo de 1945,No info,"Reparto, Casting","El vuelo de los ladrones, Chorabali, Lootera"
Dipanwita,No info,No info,Reparto,"Maa Amar Maa, Rupkothar Kahini, Sanjher Baati"
Diana Danielle,No info,1 premio y 4 nominaciones,Reparto,"Sembunyi: Amukan Azazil, Hanyut, Imaginur"
Nur Fazura,No info,1 premio y 5 nominaciones,"Reparto, Banda sonora","Manisnya Cinta di Cappadocia, Gol & Gincu, Kami Histeria"
Nicholas Teo,No info,1 nominación,"Reparto, Banda sonora","Wu Di Shan Bao Mei, A Thousand Goodnights, Rhapsody in Blue"
Luke Dorsey,No info,No info,Reparto,"Young Grandpa, Lucid, Heard"
Tosin Buraimoh,No info,No info,Reparto,No info
Tina Chukwura,No info,No info,"Reparto, Producción, Guion","Desecrated, Saboa, Father of Today"
O'Femi Familoye,No info,No info,"Edición, Dirección, Dirección de fotografía y cámara","What If?, Love Is Enough, Dear Sister"
Jacob Anderton,No info,4 premios y 4 nominaciones,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Lore, Give Them Wings, The Pay Day"
Rosie Dunjay,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Guion","Skin is Waterproof, Circle of Shadows, Call Me Back"
