Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Man Hee Kang,No info,No info,Reparto,No info
Soo Hyun Kim,No info,No info,Reparto,No info
Alexandera Yetman,No info,No info,"Reparto, Dirección, Guion","Along The Line, The Fifth Dimension, Contacto alienígena"
Hardie Duhaney II,No info,No info,Reparto,"Bora, Jungle Juice, Radiant"
Billy Hartmann,No info,No info,"Reparto, Guion, Producción","Peter Pan, Land of Forever, Day of a Slave, On Our Own"
Derrick Jamel Butts,No info,No info,Reparto,"Bobby Mortal, Abducted, Chadwick Manor"
Leanne Budd,No info,No info,"Reparto, Guion, Dirección","Man v wife, Hostage, The Unthinkable"
Steven Eljay,No info,No info,Reparto,"Red Army Hooligans, Roofied: A Double Dose, Hate Story IV"
Lauren Woods,No info,No info,Reparto,"Death Promise, Destination: Dewsbury, Wiccan"
Mike Anthony,No info,No info,Reparto,No info
Adrian Brigman,No info,No info,Reparto,No info
Miles Tillemans,No info,No info,Reparto,No info
Paige Awtrey,No info,1 premio,"Reparto, Maquillaje, Producción","Meeting the Parents, Justice League 2: The Shattered Paragon, The Spectacular Mind of Mackenzie Banks"
Kenadee Clark,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Dirección","What You Taught Me, Shadow of Vengeance, Chapel"
Saul Grosshuesch,No info,No info,"Reparto, Cámara y electricidad, Sonido","Ghostbusters: Open for Business, The Spectacular Mind of Mackenzie Banks, Costigan Bloch"
Marki Henderson,14 de octubre de 1978,13 premios y 13 nominaciones,"Reparto, Guion, Producción","Swagger, Fatal Attraction, ATL Homicide"
Corey Newton,No info,No info,"Reparto, Guion, Composición","Sins of Eve, Inside of Me, He's My Daddy Too"
Rita Johnson,No info,No info,Reparto,"He's My Daddy Too, Vengeance Is Mine, Under His Control"
Raul Alhena,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Producción","La Mue, El camino de Ares, Pescado crudo"
Eva María Fajas,No info,No info,Reparto,No info
Júlia Buxó,No info,No info,Reparto,No info
Catalina Danca,No info,1 premio,Reparto,No info
Gimi Covaci,No info,No info,"Reparto, Guion",No info
Arthur Vasile,No info,No info,Reparto,No info
Priya Dutta,No info,No info,Reparto,"Dakbaksho, Biporjoy, Barof 2019"
Shataf Figar,No info,No info,Reparto,"Tyler Rake, Shershaah, Gehraiyaan"
Indrani Haldar,6 de enero de 1971,4 premios,Reparto,"Dahan, Jara Brishtite Bhijechhilo, Saanjhbatir Roopkathara"
Daniel Cruz,No info,No info,"Reparto, Guion, Arte","The Endless Flight, Lyrics from a Bleeding Heart, The Deception"
Kelly Kidd,No info,No info,"Reparto, Guion","In Their Own Words, Billy the Kid & The Lincoln County War, The Reckoning, Makin' 8"
Sheila Eden,No info,No info,"Música, Maquillaje, Reparto","In Their Own Words, Billy the Kid & The Lincoln County War, The House on Normal Street, Querencia"
Tsai Chin,1 de septiembre de 1933,1 premio y 2 nominaciones,"Reparto, Música, Banda sonora","Memorias de una geisha, Shang-Chi y la leyenda de los diez anillos, Sólo se vive dos veces"
Hsiao-Yuan Ha,15 de mayo de 1981,1 nominación,Reparto,"Suan tian zhi wei, Acting Out of Love, Fan Qiang De Ji Yi"
Michael Tow,3 de septiembre,2 premios y 1 nominación,"Reparto, Producción, Guion","Sound of Metal, Lucky Grandma, The Blacklist"
Gérard Darman,No info,No info,Reparto,"Le bar de la fourche, Passage, Lumière violente"
Titouan Annabi,No info,No info,Reparto,No info
Céline Berti,No info,No info,"Reparto, Localización, Equipos adicionales","Robin Hood: Forajido, héroe, leyenda, Girls Feels: Into the Blue, L'Arc-en-ciel de Mélanie"
Oisín Murphy,No info,No info,Reparto,No info
Denise Quinn,No info,No info,Reparto,No info
Lalor Roddy,1954,2 nominaciones,Reparto,"Grabbers, Hunger, The Devil's Doorway"
LynMarie Dixon,No info,No info,Reparto,No info
Michelle Sanchez,No info,No info,"Dirección de fotografía y cámara, Edición, Dirección","Heaven, It Calls, Justice for Adam"
Wendy E. Snyder,No info,No info,Reparto,"Driven to the End, White Bliss, Heaven"
Sean Walsh,No info,No info,Reparto,"The Great American Heist, Hanging on a Telephone, Hanging on a Telephone"
