año,pelicula,director,actor,actriz
2015,Birdman or (The Unexpected Virtue of Ignorance),A. G. Iñárritu (Birdman or  (The Unexpected Virtue of Ignorance)),E. Redmayne (The Theory Of Everything),J.Moore (Still Alice)
2016,Spotlight,A. G. Iñárritu (The Revenant),L. DiCaprio (The Revenant),B. Larson (Room)
2017,Moonlight,D. Chazelle (La La Land),C. Affleck (Manchester by the Sea),E. Stone (La La Land)
2018,The Shape of Water,G. del Toro (The Shape of Water),G. Oldman (Darkest Hour),"F. McDormand (Three Billboards Outside Ebbing, Missouri)"
2019,Green Book,A. Cuarón (Roma),R. Malek (Bohemian Rhapsody),O. Colman (La favorita)
2020,Parasite,Bong J. (Parasite),J. Phoenix (Joker),R. Zellweger (Judy)
