Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Bikers Kental 2,Helmi Yusof,5.0,"Nurul Salajuddin, Helmi Yusof","As Bidin tries to convince his Thai girlfriend's family to let him marry her, he also has to settle an issue between him and an old enemy of his.",1h 34m
Inhuman,Hayley Tibbenham,No info,Hayley Tibbenham,"When Alice, a plus-sized, jaded and seemingly insecure teenage girl, moves to a small town in northern Michigan, she develops a budding romance with Elliot, a sunny high school golden boy. However, this romance quickly leads to the discovery that she is not some washed-out stereotype, but something farthest from it.",14m
Rude,Ambika Leigh,No info,Jason Lesner,A quiet and socially awkward introvert finds his life turned upside down when a loud and gregarious homeless man invades his favorite lunch spot and opens up about his sex life.,No info
Gone Kesh,Qasim Khallow,6.8,"Qasim Khallow, Sumit Gupt","Enakshi is diagnosed with Alopecia, where she begins to lose hair from her scalp. Although she finds her temporary fix to this, it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?",1h 50m
A Christmas Cracker,Maximilian Mena,No info,Maximilian Mena,"During the height of festive consumerism, Holly, a young, optimistic cracker-maker uses her twisted sense of humour to rebel against the reigns of corporate tyranny. In an effort to make her voice heard above the carols of factory rationalisation, Holly defaces the traditional festive joke causing a chain of adversity.",15m
It Was the Worst,No info,No info,Maximilian Mena,,No info
Chicago I'm Home,Barry Brewer,7.4,Barry Brewer,Taped in front of two sold out crowds at the Studebaker Theater in his hometown of Chicago; this stand up comedy special is the culmination of Barry's real life experiences interwoven with over fifteen years as a stand up comic.,1h 18m
Out of Touch,No info,No info,Barry Brewer,,No info
Teenage Jesus,Aaron Sheer,No info,Aaron Sheer,"Two friends struggle to premiere their long awaited and Off-Off-Broadway musical ""Teenage Jesus.""",15m
Shulie,Elisabeth Subrin,6.4,Elisabeth Subrin,"A shot-by-shot reenactment of an unreleased 1967 documentary portrait of SAIC student Shulamith Firestone, who, a few years later, would become a central figure in the rise of radical feminism.",37m
Snowblind,No info,7.0,No info,"Revealing the entrepreneurial ingenuity, paranoia and bloodshed behind the cocaine trade, in the true story of smuggler, Zachary Swan, who ran rings around police and customs officials in the early 70s.",No info
Chatô: O Rei do Brasil,Guilherme Fontes,5.9,"João Emanuel Carneiro, Guilherme Fontes, Matthew Robbins","The story of Assis Chateaubriand, the first magnate of communication in Brazil. Due to his influence during the late 1930s up to the early 1960s, he has come to be called The Brazilian Citizen Kane.",1h 42m
Transeúntes,Luis Aller,6.7,"Luis Aller, María José Garcia, María José García","Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Read all",1h 41m
The Stanford Prison Experiment,Kyle Patrick Alvarez,6.8,"Tim Talbott, Philip Zimbardo","In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.",2h 2m
High-Rise,Ben Wheatley,5.5,"Amy Jump, J.G. Ballard",Life for the residents of a tower block begins to run out of control.,1h 59m
The Man Who Knew Infinity,Matt Brown,7.2,"Robert Kanigel, Matt Brown","The story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy.",1h 48m
Miles Ahead,Don Cheadle,6.4,"Steven Baigelman, Don Cheadle, Stephen J. Rivele",An exploration of the life and music of Miles Davis.,1h 40m
The Danish Girl,Tom Hooper,7.1,"Lucinda Coxon, David Ebershoff",A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,1h 59m
Chooriyan,Sukhwant Dhadda,5.6,"Sukhwant Dhadda, Harinder, Vivek Kumar","Chooriyan is the story of Simran (Gracy Singh), an orphan who has always dreamt of being a part of a family. Her dream finally comes true when Army Office Aman (Sudanshu Pandde) asks her to marry him and she lives happily as part of Aman's family. Aman and Simran cherish every moment before he returns back to his army duty. Before he leaves, Simran makes a vow to him ... Read all",No info
Rosie & Me,Armando Milano,No info,Armando Milano,"A young journalist on his first assignment falls in love with his subject, an up and coming nightclub singer.",9m
The Invite,No info,No info,Armando Milano,A mysterious messenger delivers blank invitations to unsuspecting people that have more in common than we think.,No info
Zöld fény,Daniel Molnár,No info,Anita Pataki,"A girl realizes, she's in The Sims.",11m
Memòries,Gerard Dalmau,No info,Gerard Dalmau,,No info
Dangebaaz,No info,No info,Gerard Dalmau,,No info
Christmas for the Rest of Us,No info,No info,Gerard Dalmau,,No info
Jeremy,No info,No info,Gerard Dalmau,,7m
This Other American Life,Hiroki Wakamatsu,No info,Tasha Cohan,Carly decides to interview her father for a school project; the subject: why she was taken away from her mother.,15m
Fed Up,Mircea Daneliuc,6.1,Mircea Daneliuc,"Young Doina has a car accident. In intensive care, the doctor, Vali, calls her time of death but discovers that the child she was carrying is still alive. Wishing to save its life, the doctor puts the mother on artificial life support.",1h 33m
Prozac tango,Michaël Souhaité,6.1,"François Hitter, Marie-Pierre Huster, Michaël Souhaité","Sweet and bitter comedy about urban life, Prozac Tango stages seven characters who will kill each other, cross paths, meet, miss each other and perhaps love each other.",19m
Ant-Man,Peyton Reed,7.2,"Edgar Wright, Joe Cornish, Adam Mc, Kay","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",1h 57m
The Wedding Ringer,Jeremy Garelick,6.6,"Jeremy Garelick, Jay Lavender","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.",1h 41m
Publicité SAAQ - campagne publicitaire sur les drogues au volant (Pigeon),François Lallier,No info,Maxime Séguin-Durand,"-Awareness campaign on drugs while driving. Using a pigeon and a squirrel, she recalls that the police are able to recognize a drugged driver. The campaign is aimed primarily at drivers aged 16 to 24.",1m
Tracy Smith and the Treasure from the Secret Abyss,Pauli Janhunen Calderón,No info,"Marina Janhunen Calderón, Alvaro Grobet Calderón, Emilio Janhunen Calderón","Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Niño Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.",24m
Rajawali,Zidny Nafian,No info,Zidny Nafian,"On an elevated afternoon, two Boys talked about the cause of a motorbike that was not bought.",5m
In the Realms of Good and Evil,Andrew Craig,No info,Andrew Craig,,12m
Jeremy,No info,No info,Andrew Craig,,7m
The Hungry Buddhists,Yunhao Zhang,No info,Yunhao Zhang,,2m
Bytva za 'Zhovten',Kseniya Krasnova,No info,"Anastasiya Stanko, Aleksandr Zherebko",,7m
Gli sbancati 2,Henry Secchiaroli,No info,"Henry Secchiaroli, Ermanno Simoncelli",,2h 5m
The End,Thibault Pinto,No info,"Joel Gonzalia, Thomas Smith",,No info
Face Off,Ly Hai,5.5,"Tiet Cuong, Truong Giang, Ly Hai","When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance.",1h 38m
Jurassic World,Colin Trevorrow,6.9,"Rick Jaffa, Amanda Silver, Colin Trevorrow","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",2h 4m
Oscar Buzz,Patrick Willems,No info,Patrick Willems,A Moviegoer kills an annoying moviegoer.,No info
Final Descent,Matthew Silva,No info,"Aniel Rios, Matthew Silva",,No info
Operation Pursuit,Matthew Silva,No info,"Aniel Rios, Matthew Silva",,No info
Flamenco Dancer's Revenge,No info,No info,"Aniel Rios, Matthew Silva",,No info
Left for Dead- The Infection (The Series),Billy Butler,No info,Billy Butler,A post-apocalyptic anthology web-series following the story of two best friends on their daring survival journey in a wasteland littered with the undead.,58m
Dushman,No info,No info,No info,,2h
Pele 1 Real,No info,No info,No info,,No info
Nazi Sharks,Mario Xavier,5.2,Mario Xavier,"Dr. Beck Jenkins, a Sharkologist, notices sharks acting strangely. He decides to investigate their behaviour, but something seems to suggest a World War Two science experiment may be involved.",6m
Beach Tusa - Saltushki!,Xlson137,No info,"Vitaly Grinevich, Xlson137",,No info
Beach Tusa - Zakaznoy,Xlson137,No info,Xlson137,,No info
Pirates Airsoft Team,Aris Koulaidis,No info,Aris Koulaidis,,No info
Fight for Redemption,Matthew Silva,No info,"Aniel Rios, Matthew Silva",,No info
Modus,J.V. Noriega,4.8,"Richard Reynante, Lester Chavez, Ferdinand Enriquez",A young detective finds himself caught in a moral dilemma as he tries to solve a series of killings against children of corrupt government officials. He soon falls deeper into the case when the killer abducts his fiancée.,1h 21m
O Curto Adeus,Rodrigo Reinhardt,No info,"Fernanda Denuzzo, Rodrigo Reinhardt",,No info
Y.O.L.O (You Only Live Once),Tadgh Quill-Manley,No info,Tadgh Quill-Manley,,10m
Tiger Sci-Fi Kung-Fu,No info,No info,Tadgh Quill-Manley,,No info
Evil Hand wants revenge on me,No info,No info,Tadgh Quill-Manley,,No info
Mind Games,No info,No info,"Marina Janhunen Calderón, Alvaro Grobet Calderón, Emilio Janhunen Calderón",,No info
"Yeo-ja, nam-ja",Ji-na KangWoo Moon-giYeon-Shick Shin,No info,"Ji-na Kang, Woo Moon-gi, Yeon-Shick Shin","A collected-works compilation featuring three short films, ""Geu-ge a-ni-go/Not That"", ""Hear My Song"", ""Seul-peun ssin/Sad Song"", by contemporary South Korean filmmakers and produced by fashion magazine W Korea on its 10th year anniversary.",No info
Eat the Rich,No info,No info,"Ji-na Kang, Woo Moon-gi, Yeon-Shick Shin","A day in the life of a filthy rich family of pigs living in a castle, as told through the eyes of their human butler.",4m
Rare Earth Element,Frank Sanders,No info,Frank Sanders,,4m
No Grapes No Glory,Michael Chuney,No info,"Michael Chuney, Vin Craig, Chris Ireland","A fantastic story about an unappreciated group of office workers who escape their mundane lives by transforming an unwanted gift into a ""sweet little battle.""",No info
Hollow Earth: The Bone Quill,Edward Tracey,No info,Edward Tracey,"Matt and Emily are tasked with protecting the Bone quill from harm, However will they be able to face Damien again?",No info
Goosebumps,Rob Letterman,6.3,"Darren Lemke, Scott Alexander, Larry Karaszewski","A teenager teams up with the daughter of young-adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",1h 43m
Potion Shop,Temmie Chang,7.7,Temmie Chang,"After defeating a dragon, a young witch must then save him from a furious crowd.",5m
Go Far,Katherin Hussein,No info,Katherin Hussein,An older brother uses his imagination to shield his younger sister from their toxic family dynamic.,12m
The dolls sight,Carlo Bettelini,No info,"Michael Anlero, Carlo Bettelini, Carlo Praolini",,No info
Chandrika,Yogesh MunisiddappaNallibilli Venkatesh,No info,Yogesh Munisiddappa,A painter moves into a haunted mansion with his wife. The spirit takes over his wife's body and begins to lead him to a his past. Why does the trapped soul seek revenge? Is there a love story that remains unfinished?,No info
The Forest of Iron,Tomas Rydehed,No info,Tomas Rydehed,"Three Girls going camping meet up with Three scientists who are exploring the mythical forest of iron. Undead vikings roam he forest and wants to awaken Månegarm, the mythical wolf.",1h 12m
Inergia: Sintiencia al vacío,Gilberto Vázquez,No info,Gilberto Vázquez,"He wants to feel and he will go to great lengths to try and find what makes someone human. Stuck between not knowing whether he is something or someone, he seeks to fill in the void.",19m
Ice Cream,No info,No info,No info,"Egged by his friends, a drunk Vishal agrees to spend a night in a spooky graveyard, unaware that this petty bet would soon turn into his worst nightmare. Can Vishal survive the horrific night? Or will the darkness of the night take over? Find out in the first Tulu horror film ever made, Ice Cream.",No info
June,Keely Martin,No info,Keely Martin,,No info
Blackout,No info,No info,No info,,5m
Mirlos de Arkansas,Pablo Vergara,4.6,Pablo Vergara,"A mechanical failure leaves four teenagers stranded in the darkness of a deserted road. Still disturbed by a recent incident involving the alleged town witch, the teenagers will face the real and imaginary threats that begin to emerge. The sudden disposición of one of the girls and the unexpected appearances of a series of strange local characters increase the tension... Read all",1h 15m
The Hitchhiker,No info,No info,Pablo Vergara,,5m
BD Scream 6,Shahzaib Yaqoob,6.6,Shahzaib Yaqoob,,21m
Scream Vs. Jason,No info,No info,No info,,18m
Zombooze,Jonny Fleet,No info,"Jonny Fleet, Kelly Mc, Gee","A group of Mormons wake up to a zombie apocalypse, only to discover that zombies won't attack them if they're drunk.",16m
Who was phone man?,No info,No info,"Jonny Fleet, Kelly Mc, Gee","A man attempts to find the pages of the ""Phone Man"", but at what cost?",4m
Walkman,Clay Randel,No info,William Thurmond,,No info
Economía,No info,No info,William Thurmond,,No info
O Rastro,Bruno ItoCarlos Macagi,No info,Carlos Macagi,"With the arrival of a new resident, tormented by nightmares and hallucinations, the home tranquility is threatened.",No info
Dirty Paws,Karina Farek,7.4,Karina Farek,,No info
Baby Hands,Cody Rapp,No info,Cody Rapp,A surreal stop-motion animation short film about a normal sized hand and some baby hands.,1m
Old Ladies Attack,Jesús AbadGuillermo Escobedo,No info,"Jesús Abad, Guillermo Escobedo",,10m
A Scene from Flesh United,Mattie Cooper,No info,Mattie Cooper,Palmay has a parasitic twin growing from his head and he seeks comfort and understanding from Queenie.,5m
Red Lantern's Oath,Justin Blake Webber,No info,Justin Blake Webber,"After a bitter divorce, Tabitha comes seeking her now ex husband. Furious over the treatment she has endured, she has come for revenge.",7m
Date Night,No info,No info,Justin Blake Webber,,9m
Spooky Pizza Delivery,No info,No info,Justin Blake Webber,,No info
Home Security,Larry Jerome Thomas,No info,"Larry Jerome Thomas, Shiandra Thomas",,No info
The Dater,Larry Jerome Thomas,No info,Larry Jerome Thomas,,No info
Almas Ocultas,Jorge Dahlhaus,No info,Jorge Dahlhaus,,1h 35m
Deception Obsession,Ji QiaoHaiming Xiang,No info,Hua Zhang,,1h 27m
Torture Porn,No info,3.7,Hua Zhang,,5m
Being,No info,7.5,Hua Zhang,"Nazneen invites a violent entity into her life by drinking from a stream. The entity follows her and takes over her. She begins to lose herself. A slow decay of her mind is what follows. The horror of her mind is manifested into the realities of her life, she witnesses a gradual loss of self and people close to her.",No info
Palasik,Dedy Mercy,5.5,Baskoro Adi Wuryanto,A pregnant woman who was accused by residents of having Palasik knowledge. She was accused of giving birth to a child who would inherit this black magic.,1h 18m
Kernel in My Throat,Domenic Migliore,No info,"Patch the Beagle, Domenic Migliore, Alex Quattrocchi",,3m
Penghuni Lain,Roman Malik,No info,"Delbin Clyte, Helfi C.H. Kardit","A married couple and their daughter move to a house far from the city. Soon, the wife begins to feel that something is wrong with the place and with the old woman who lives across the street, in an almost empty house.",1h 23m
Tes Nyali,No info,No info,"Delbin Clyte, Helfi C.H. Kardit",,No info
Paranormal X,Joy King,No info,Joy King,"The Taylor's move into an apartment, their youngest son Zac Taylor starts picking up on some paranormal activity going on in the house, his parents don't believe him and things get worse for the small family. (Series ended June 10, 2015)",No info
Lunacy,Carl Abrahamsson,No info,Vanessa Sinclair,"Praising lunar forces and witches from all times and spaces, LUNACY acts as a conductor to emotional transcendence and illumination rather than to scientific analysis. The Moon is always there in various degrees of visibility to the human eye, but the power of Hecate and other lunar celebrities remains constant. It's the only fact that's relevant in the greater human ... Read all",44m
It's Lonely Down Here,Kreigh Carter,No info,Kreigh Carter,A Young girl in a broken home finds kinship in a Satellite that travels past her house every year.,No info
Hannah,Anh Be,No info,Zimf,"The story is about a young man named Le Minh Vien, whom suffered depression due to unemployment, Vien decided to end his life. On the verge of death, Vien started having illusions. But it was too late, the harsh reality went too far beyond from what Vien was thinking.",7m
The Girl From Future,No info,No info,No info,"It is a film directed by Wu Qin.The film is about the trials and tribulations of adolescence.Angel, who smuggles from future 71Y2 back to 20X7, disguises her space-time passport as a 2B pencil. But she loses it accidently and is locked in a summer exam campus in 20X7. Time from 8:45 to 18:45 of June 8 is compulsively repeated. Angel has only 30 days to look for her sp... Read all",1h 38m
Leveler,Eric Warwaruk,No info,Eric Warwaruk,"A young genius teen girl abused emotionally and sexually by her parents seeks the best course of action using a special ""moral computer"" of her own invention.",12m
Halloween Metal Detecting,Billy Bob Vlogs,No info,"Johanna Anne Valentine, Billy Bob Vlogs",,5m
Cheetah Run,Tom Beaver,No info,Tom Beaver,,8m
Through the Pages,No info,No info,Tom Beaver,A young man seeks solitude in an empty church but his peace is interrupted when a mysterious hooded figure lays a curse on the building.,2m
SOL: Soldier of Love,No info,No info,Tom Beaver,,4m
Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime,Kenji Kamiyama,5.9,"Harumi Doki, Kenji Kamiyama","The story centers on the adventure of Ancien, a girl that keeps appearing in Kokone's dreams. The story of the dream is one that Kokone's father told her as a mysterious fairy tale when she was little.",25m
"Pororo, Dinosaur Island Adventure",Kim Hyun-Ho,7.0,"Connie Castanzo, Kylee Claxton, Ryan Guess",An egg shaped airship has crash landed and Pororo and his friends go over to investigate. Inside they find a little dinosaur named Alo. Crong and Alo both gets kidnapped and Pororo and his Friends go over to Dinosaur Island to rescue them.,1h 19m
Dancer In The Pocket,Ying Xu,No info,Ying Xu,"We all living in a dream.I wanna dream.One day a thief on the subway steals the phone of a woman. Curious to get to know her better, he looks through her phone. What he finds will make him remember a long forgotten dream of his.",13m
Hittarar og Krittarar,Daði Einarsson,No info,Daði Einarsson,,No info
Féérique,No info,No info,Daði Einarsson,,No info
Time Management,Lydia Lawson,No info,"Mercedez Hernandez, Cade White","A college student racing to finish her research paper soon discovers that deadlines are not negotiable, but time just might be.",5m
Le Temps d'un Souffle,Lou MorriganKor Wentemn,No info,Margot Villet,,2m
Pollen,Phil Lee,No info,"Phil Lee, Iain Mcconell, Jon Weinberg",,No info
Emerge,Curtis BrownBrian K. LandisHeather Waters,No info,"Curtis Brown, Brian K. Landis, Heather Waters",,No info
Felix Culpa - Happy Fault,No info,No info,"Curtis Brown, Brian K. Landis, Heather Waters",,No info
Tobias: Los videos perdidos,Luis Fernando Del Angel,7.0,Luis Fernando Del Angel,"The case of Uncle Aurelio was very famous to his brutality, the police had found videos several strange things ... things that have no explanation, in this short film we will show you those videos.",No info
Anamnesis of the Divine,No info,No info,Luis Fernando Del Angel,,6m
Stripping with Confetti,No info,No info,Luis Fernando Del Angel,,9m
Fruit Town,No info,No info,Luis Fernando Del Angel,,5m
El hombre del traje,No info,No info,Luis Fernando Del Angel,,No info
Dreamstone,No info,No info,Luis Fernando Del Angel,"Heidi's dreams have been strangely real lately. In one of them, a man named Leer tells her that the gap between the dream world and the real world is endangered, and she must protect the dreamstone from the evil Maelstra, the hypnomancer.",15m
In Passing,Yichi Zhang,No info,Yichi Zhang,"In Chinese mythology, when ghosts pass over Nai He Bridge, they will meet Meng Po, the Lady of Forgetfulness. She's always boiling soup. Every ghost has to drink the soup so they will forget everything in their last lives and go on to their next. After a girl lost her loved one, she gets a blank recipe of Meng Po Soup from a stranger - she has to find all the ingredie... Read all",19m
Betobeto-san,No info,No info,Yichi Zhang,,No info
Anxiety,Dylan DeVol,No info,"Dylan De, Vol",A college student struggles to fall asleep after giving up on his final the next day. But his anxiety has other plans.,6m
Fan 13,No info,No info,"Dylan De, Vol","In the middle of a normal meal, Indangious Montana's uncle is killed. In his dying breath he informs his nephew that the people responsible for his death also stole his prized boot. On a quest for revenge he gains the help of his old best friend Johnny Bardo. After their reunion they go to seek help from Johnny's neighbor and the local scoundrel Gremlelf. The three of... Read all",5m
Fan 13 2: Gremlelf Rising,No info,No info,"Dylan De, Vol","Coming from a tragic past of loss and regret, Jon Snobobo seeks revenge for the loss of his child at the hands of a Barbarian clan. He journeys to uncover the secrets behind the legendary boot and the yellow demon responsible for his loss. With the help of the local music man Johnny Bardo he goes through many exciting trials.",18m
Minkä menetin,Eetu Pennanen,No info,Eetu Pennanen,A young man struggles with OCD and loss in both reality and his mind.,27m
La Brecha,Daniel Suárez Rubini,No info,Daniel Suárez Rubini,"In a time when everything remains unchanged and people live in fear and hopelessness, a strange flapping of wings can be heard from afar.",No info
We All Bleed,Paul Joosse,No info,Paul Joosse,"Based on the classic Dracula characters; A modern day descendant from Count Dracula falls in love and wants to adapt his life, his once so loyal companion Ygor doesn't agree with this.",No info
The Curious Life of Bill Devan,No info,No info,Paul Joosse,,No info
Crève coeur,Timothée Coignus,No info,"Timothée Coignus, Félicien Hanyurwuwenda-Berger",,8m
Voices,Tanner Hamilton,No info,Tanner Hamilton,A troubled high school student struggles to contain his supernatural abilities in a black-and-white world where normality is law. His disturbing powers affect everything in his life - until he meets a peculiar girl with a strange secret.,4m
La Isla,Alejandro Cabrera,No info,Alejandro Cabrera,"A bored therapist wants to continue the psychotherapy session based on the progress he made with his reluctant patient the previous week, but the patient has other plans.",5m
The last midnight chapter 2: The Wicked Die Young,Ricardo Zenteno,6.7,"Marisol Estrella, Ricardo Zenteno","after the events of the last midnight, Hansel wants to find an answer of what happen to him and his friends, however maleficent is back and now is in a little girl which is Hansel babysit girl.",1h 33m
The Other Dakar,Selly Raby Kane,No info,"Lucette Badiane, Mammy Bengelloun, Demba",A little girl is chosen to discover the invisible Dakar.,8m
Xin xi you zhi Da zhan nu'er guo,No info,No info,"Lucette Badiane, Mammy Bengelloun, Demba",Tang Sangzang overcomes more than 50 trials to end up in Xiliang Women's Country. There they meet the Queen who becomes obsessed with Tang Sangzang and refuses to let him continue his journey. When Tang Sangzang rejects her advances a battle for his heart commences.,1h 30m
Red Light District,Joey R. Marino,No info,"Christopher Buonopane, Steven Cassetta, Marla Marino",Married man gets guilt complex as he sees his wedding band in the reflection of the call girl window.,No info
Bad News,No info,No info,"Christopher Buonopane, Steven Cassetta, Marla Marino",,No info
The Fawley Case,No info,No info,"Christopher Buonopane, Steven Cassetta, Marla Marino","A vintage spoof on the Potterverse, set in the 1930s.",2m
Cracked,Dicle Ozcer,No info,Dicle Ozcer,A magician turns his doll into a human only to find out she's not as perfect.,No info
Gorama,Jensen Gore,No info,Jensen Gore,,5m
Chintamani,No info,No info,Jensen Gore,"Chintamani tells the tale of a demon who steals the souls of young children in order to survive, using nursery rhymes to trick children into the darkness. The story follows young Amoria, an innocent young girl in a destructive environment, who places her trust in the one person who promises her happiness. What will happen when her trust is betrayed?",9m
The Eye,No info,No info,Jensen Gore,A spoiled boy during WW1 goes on a walk after storming out of his parents house and comes across a talking tree in the forest.,3m
Bigfoot,Mc Jones,4.7,No info,"A story of a man who, after having been through a terrible accident that killed his wife and kids, is forced to spend an entire week at his vacation home in a remote area of the Rocky Mountains, and soon discovers the unfriendly truth behind the Bigfoot legend.",No info
The Evil Within,Andrew Getty,5.6,Andrew Getty,"A lonely, mentally handicapped boy befriends his reflection in an antique mirror. This demonic creature orders him to go on a murderous rampage to kill the people he loves most.",1h 38m
Sludge,Steve Taylor,2.6,"Steve Taylor, Rahul Chatterjee, Timothy Cerjan",A geology field trip into the remote Bear Claw wilderness area turns into a nightmare for a group of college students as they find themselves prey to a viscous man-beast the locals call The Shadow of Death.,1h 35m
Rings,F. Javier Gutiérrez,4.5,"David Loucka, Jacob Estes, Akiva Goldsman",A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,1h 42m
Kyodai,Evann Rodriguez,No info,Evann Rodriguez,"An unknown virus that turns people into dead people, ravages a large part of the world's population, leaving stranded survivors to the land for their survival, and fighting to preserve it.",1h 17m
Asylum,Brent LaderouteCraig F. Watkins,No info,Craig F. Watkins,"When Sameera and Rayan wake up in a dark room, with no idea how they got there, they are forced to make a choice that will impact the rest of their lives.",No info
Inside the Walls,Alexei KostinVyacheslav Rudenko,No info,"Olga Ivanova, Alexei Kostin, Vyacheslav Rudenko","A woman named Sasha has not returned to her native home for two decades. But she must return, due to the tragic and mysterious death of her parents.",1h 32m
Utanför,Rasmus Jonsson,No info,Rasmus Jonsson,A man enters a hazy alternative world and receives strange messages from what appears to be himself.,13m
Bedtime,No info,No info,Rasmus Jonsson,A man hears ghostly noises in his apartment as he tries to go to sleep.,9m
Rabbit's Blood,Camden Ferrell,No info,Camden Ferrell,"After leaving a car accident, one guy returns to the scene, but nothing is as it seems.",1m
Senescent,Josh Evans,No info,Josh Evans,"Are you truly alone? Pushing aesthetic boundaries and largely the sole creation of a single artist, Senescent is a moving, creepy, and personal glimpse into the clutching machinations of depression.",11m
Krov,Pavel Roytberg,9.2,Pavel Roytberg,"In 2017-2018, supernatural beings will emerge from hiding, end their ""masquerade"" and stop living in shadows. Future of coexistence with those, who consider ordinary people to be the basis of a food chain, rests on your shoulders :)",15m
The War of Godzilla 2,No info,No info,Pavel Roytberg,,1h 39m
The Blur,Aiman Samat,No info,Aiman Samat,"A young lady seems to ""see"" more without her glasses.",2m
The Ashes of Bethlehem,Cosmotropia de Xam,No info,"Aechidna Morgan Kamen, Ilynn Morrigan, Maya Schneider",,No info
Window Well,No info,No info,"Aechidna Morgan Kamen, Ilynn Morrigan, Maya Schneider",,8m
Feast of horror and juju 2,No info,No info,No info,,No info
Tabby & Crow,No info,No info,No info,"Late on Mischief Night, a loser has a surreal, macabre conversation with a seemingly sentient jack-o-lantern named Crow.",13m
The Murderers Deusions,No info,No info,No info,The horrid memory of a murderer. Trapped in a Metal Hospital.,3m
Perde Ayn-i Cin,Ediz Günay,6.1,Ediz Günay,,No info
Maura,Romeo López Aldana,No info,Romeo López Aldana,,No info
Old Blood,Andrew Manning,No info,Andrew Manning,"Father Laurence, a cleric of the healing church, travels to a remote castle in order to provide aid to an ill woman. But the effects of blood ministration on one's psyche have yet to be fully explored.",6m
Dalvin,Derek Yancey Jr.,No info,"Emily Tortorelli, Derek Yancey Jr.",,2m
Wolves 360°,No info,No info,"Emily Tortorelli, Derek Yancey Jr.",,No info
Cold Skin,Xavier Gens,6.0,"Jesús Olmo, Eron Sheean, Albert Sánchez Piñol",A young man arrives at a remote island to take a post of weather observer only to find himself defending the watchtower from deadly creatures which live in the island shores.,1h 48m
Um Terço de Mim,Sihan Felix,No info,Sihan Felix,,No info
Büyü 2,Adnan Güler,3.5,Servet Aksoy,,1h 30m
Hungry Rat,Manaal Khan,No info,Alyssa Amer,,No info
Kuyu,Serdar Bardakçi,2.5,Mehmet Besir Çengelli,,1h 30m
Morg,Tuncer Gürbüz,2.3,Halim ÇetinÖzlem Çetin,"The employee of a morgue begins to suffer terrible apparitions from the grave, suffocating him with great suffering due to a guilt that he has to pay for.",1h 7m
Iki,Fatih GürlerRamazan Özer,3.6,Murat Toktamisoglu,"Mother Meltem and her little daughter Beril live a happy life outside the city, living in a two-story house with a garden. The only thing that makes them nervous is the veteran watchman of the house, who appears as soon as possible. A mysterious guard creates uneasiness in Meltem.",1h 11m
Escuro,No info,No info,Murat Toktamisoglu,,3m
Journey to the Darkness,Mohammad Mozafari,No info,"Mohammad Mozafari, Himawan Pratista","This movie is a story about five asylum seekers who were going to immigrate illegally to Australia. Before starting the journey, they had to wait in a very weird house which was uncomfortable for them. One of them was making a documentary about their journey and things went very strange after midnight.",20m
The Hole,Yuichi Iwanaga,No info,Matt Savarese,,5m
Funeral Wake,Li Dong,No info,Wang Qiusheng,"Night vigils are done at funerals as the dead's souls are said to linger three days after death. Si is a gambler who only goes home when he needs money from his mother and is not around when she dies. Learning that his mother has buried treasure at home, Si returns to keep a vigil for her while finding the treasure. Strange things start to occur.",1h 29m
La escenita,Fernando Arriaga Hardisson,No info,Fernando Arriaga Hardisson,,5m
Fear of the Dark,Rohit Bhardwaj,No info,Roby Singh,"We all are afraid of DARKNESS,Sometimes we also face the awkward events in this DARKNESS that we can not understand whether it is TRUE or its a ILLUSION..",No info
Baskasi,Can Selman,No info,Candan Selman,,No info
Follower at Dusk,David Wood,No info,David Wood,"A man is stalked by a tall, dark figure.",1m
Give Me Kill,Zane Hampton,No info,Zane Hampton,,4m
Uno para Camila,Kail Grösser,No info,Kail Grösser,,4m
Cold Read,No info,No info,Kail Grösser,,No info
Housekeeping,No info,No info,Kail Grösser,,No info
