Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
"Panspermia, la semilla del todo",No info,No info,"Betsy Giffen Nowrasteh, Cyrus Nowrasteh, Anne Rice",,7m
Unfriended,Rec Revan,No info,"Mehdi Aliyev, Namiq Aslanov",,4m
En El Valle De Gigantes,No info,No info,"Mehdi Aliyev, Namiq Aslanov",,16m
88A-12,Zuri Shafer,No info,Mike Dominguez,Ellie reflects on a difficult decision she made as she embarks on a journey to save mankind.,8m
Mother Knows Best,Eric Warwaruk,No info,Eric Warwaruk,"A mother and daughter with a mysterious past live a gypsy vagrant lifestyle. The daughter dreams of a different, normal life with a new boyfriend. After the daughter is jilted, the mother appeals to a higher power for revenge.",7m
Number 6,No info,No info,Eric Warwaruk,Family is a link to our past and a bridge to our future.,7m
Au bord du gouffre,Simon Doutreleau,No info,Simon Doutreleau,"As the Spanish flu contamines Europe, a young boy fight to survive. Surrounded by his parents and his doctor, he fell in very deep sleep made of painful and nostalgic memories.",No info
When I Was Born,No info,No info,Simon Doutreleau,,3m
E-mocion,Nut,No info,"Ana Buján, Nut, Letizzia Pedroche","""Feeling and Movement unite us with bonds that make us share and create new Universes.""",6m
Ling Hun Zhi Zha Dian,No info,No info,"Ana Buján, Nut, Letizzia Pedroche",,1h 5m
Ee Shruthi Lo,U.V. Eranna,No info,"Chakradhar Dittakavi, U.V. Eranna, Venkatesh Kanupuru",,No info
Aquarius,Timofey Zhalnin,No info,Timofey Zhalnin,,9m
Trollie: The Great Rescue,Gert Embrechts,5.8,Pieter Bart Korthuis,,1h 23m
Standing on Enceladus,No info,No info,No info,,2m
Hollow Earth: The Book of Beasts,Edward Tracey,No info,Edward Tracey,The conclusion of the Hollow Earth trilogy! Will Matt and Emily save the world and finally defeat Damien?,No info
The Water Fairy,Cecilio Martinez,No info,Cecilio Martinez,,No info
"Paista, paista, päivänen!",Priit Karm,No info,No info,"The Son of Wind blows a handful of flour off a peasant's palm. The old man then asks the Wind for the flour back. The Wind gifts the man with a goat, a table and wit. Now the old man and the old woman may live a happy life.",34m
The M Riders: Finding Pangu,Liang Zhao,No info,"Mei-Shan Chen, E. Lisa, Yi-Ching Peng",,1h 35m
Le banquet des hommes illustres,Philippe BarbenesOlivier Brunet,No info,"Philippe Barbenes, Olivier Brunet","During this improbable meal Voltaire replies to Churchill and Rabelais to Thomas Jefferson, Colette squares up against Napoleon - and all with a wine-loving, bon vivant master of ceremonies in the shape of French actor Pierre Arditi.",10m
Despedidores,Ibon Goiko,No info,Ibon Goiko,"Two men, crushed by the system, dream of destroying it.",8m
Living In A Lighthouse,No info,No info,Ibon Goiko,,No info
