Tipo,Nombre,Año,Mes,Id_pelicula,Genero
movie,Quan jia fu,2017,10.0,tt0087963,Drama
movie,La telenovela errante,2017,9.0,tt0100275,Drama
movie,Joe Finds Grace,2017,4.0,tt0137204,Drama
short,Reading Between the Lines,2017,10.0,tt0269768,Drama
movie,The Only Living Boy in New York,2017,8.0,tt0460890,Drama
movie,Tulip Fever,2017,8.0,tt0491203,Drama
movie,Suburbicon,2017,11.0,tt0491175,Drama
movie,Rings,2017,2.0,tt0498381,Drama
movie,Caravaggio and My Mother the Pope,2017,12.0,tt0825334,Drama
movie,Krystal,2017,4.0,tt0835802,Drama
movie,The Dot Man,2017,,tt0874268,Drama
short,Ghost Walk: The Harvest Ball,2017,5.0,tt10004180,Drama
short,The Pursuit of Love,2017,7.0,tt10009896,Drama
short,Afternoon Clouds,2017,5.0,tt10012542,Drama
short,Value,2017,2.0,tt10009428,Drama
movie,The Promise,2017,7.0,tt10013288,Drama
short,Looking Away,2017,,tt10016970,Drama
short,First Kiss,2017,,tt10016496,Drama
movie,Egise Taara Juvvalu,2017,11.0,tt10017460,Drama
movie,Ila Ayithe Ela,2017,,tt10017546,Drama
short,Gusti,2017,6.0,tt10018590,Drama
short,Freshman,2017,,tt10020048,Drama
movie,Machiwarla Budha,2017,6.0,tt10025790,Drama
movie,Ubuntu,2017,9.0,tt10034168,Drama
short,Recherche,2017,4.0,tt10034738,Drama
movie,Tatva,2017,5.0,tt10034136,Drama
movie,Pahil Paul Jivanch,2017,8.0,tt10033760,Drama
movie,Quan jia fu,2017,10.0,tt0087963,Comedy
movie,La telenovela errante,2017,9.0,tt0100275,Comedy
movie,Joe Finds Grace,2017,4.0,tt0137204,Comedy
movie,Bunyan and Babe,2017,1.0,tt0331314,Comedy
movie,Suburbicon,2017,11.0,tt0491175,Comedy
movie,CHIPS,2017,3.0,tt0493405,Comedy
movie,Caravaggio and My Mother the Pope,2017,12.0,tt0825334,Comedy
movie,Krystal,2017,4.0,tt0835802,Comedy
movie,Joe Dick,2017,1.0,tt0937225,Comedy
short,Introverts Anonymous,2017,9.0,tt10008900,Comedy
short,Jail Bound,2017,10.0,tt10010634,Comedy
movie,Dhingana,2017,12.0,tt10011206,Comedy
short,Bas Paanch Minute,2017,10.0,tt10016710,Comedy
short,First Kiss,2017,,tt10016496,Comedy
short,Oops,2017,,tt10017062,Comedy
short,Vendégszeretet,2017,7.0,tt10017520,Comedy
short,Excalibur Too,2017,12.0,tt10022382,Comedy
short,The Ballet Exam,2017,10.0,tt10035124,Comedy
short,The Wolf of Guacotle,2017,4.0,tt10033594,Comedy
short,Buddy Cops!,2017,10.0,tt10036736,Comedy
movie,Shao nv tian shi,2017,7.0,tt10038738,Comedy
short,"The Good, The Bad And The Tennis",2017,10.0,tt10041362,Comedy
short,UnHoly Father,2017,6.0,tt10042936,Comedy
short,Un camión por encima,2017,,tt10049108,Comedy
short,Goddess,2017,11.0,tt10055588,Comedy
short,Den gröna dörren,2017,6.0,tt10071966,Comedy
movie,Kaun Mera Kaun Tera,2017,10.0,tt10071942,Comedy
short,Pure Gasoline,2017,,tt10070746,Comedy
short,At Sixes and Sevens,2017,11.0,tt10071408,Comedy
short,Blåst,2017,6.0,tt10072014,Comedy
short,Roommates,2017,9.0,tt10073580,Comedy
short,Cedar,2017,5.0,tt10074554,Comedy
movie,The Girl From Future,2017,12.0,tt10077598,Comedy
movie,49 Ngày 2,2017,2.0,tt10078676,Comedy
movie,The Neighborhood Roadshow,2017,12.0,tt10090742,Comedy
