Tipo,Nombre,Año,Mes,Id_pelicula,Genero
movie,The Other Side of the Wind,2018,11.0,tt0069049,Drama
movie,Reverse Heaven,2018,11.0,tt0192528,Drama
movie,To Chase a Million,2018,,tt0276568,Drama
movie,Aamaar Bhuvan,2018,12.0,tt0328810,Drama
movie,Fahrenheit 451,2018,5.0,tt0360556,Drama
movie,Nappily Ever After,2018,9.0,tt0365545,Drama
movie,A Million Little Pieces,2018,12.0,tt0427543,Drama
movie,Back Roads,2018,12.0,tt0972544,Drama
short,Menace Commune,2018,10.0,tt10004294,Drama
short,Kadogo,2018,10.0,tt10004232,Drama
short,Neon Passion,2018,1.0,tt10004384,Drama
short,Brotherly Love,2018,12.0,tt10005518,Drama
short,A Bloc,2018,6.0,tt10006406,Drama
short,Form 1,2018,5.0,tt10002400,Drama
movie,When I Became a Butterfly,2018,12.0,tt10004396,Drama
short,Fragments,2018,5.0,tt10006220,Drama
short,At the Crossroads Down Yonder,2018,6.0,tt10010676,Drama
short,Selflove,2018,7.0,tt10010502,Drama
short,Flamboyante,2018,3.0,tt10011656,Drama
short,22,2018,9.0,tt10010772,Drama
short,Asphalt Saints,2018,,tt10009344,Drama
short,M Like Mobius,2018,12.0,tt10013176,Drama
short,Endgame,2018,11.0,tt10014878,Drama
short,The Cherry Orchard,2018,1.0,tt10015376,Drama
short,The Greener the Grass,2018,,tt10014612,Drama
short,B-167-980-098,2018,7.0,tt10014890,Drama
short,Honey,2018,3.0,tt10014710,Drama
movie,Forced Marriage,2018,2.0,tt10014042,Drama
short,Turn the Switch Off,2018,,tt10014556,Drama
movie,Skvoznyye Shagi,2018,,tt10016254,Drama
short,Day Out,2018,11.0,tt10016858,Drama
movie,Lost Einstein,2018,,tt10017502,Drama
short,Forget Me Not,2018,12.0,tt10021210,Drama
short,Perfekte vegger,2018,,tt10021610,Drama
short,The Guide,2018,11.0,tt10026128,Drama
short,My Brother,2018,9.0,tt10023224,Drama
short,The Other Side,2018,2.0,tt10026098,Drama
short,Rupkothar Kahini,2018,11.0,tt10026376,Drama
short,I Love When You Sing to Me,2018,2.0,tt10022338,Drama
short,Young Grandpa,2018,5.0,tt10026668,Drama
short,100 Inscritos,2018,7.0,tt10022852,Drama
short,Eddy,2018,11.0,tt10026970,Drama
movie,Saboa,2018,10.0,tt10027174,Drama
short,The Veil,2018,6.0,tt10026096,Drama
short,A Story Told From The End,2018,12.0,tt10025230,Drama
short,Clout,2018,9.0,tt10028230,Drama
short,Runner,2018,12.0,tt10028626,Drama
movie,Stay,2018,4.0,tt10028708,Drama
short,Shed,2018,9.0,tt10029026,Drama
short,The Woman at the Other End of the Line,2018,12.0,tt10032780,Drama
movie,A Short History of a Few Bad Things,2018,10.0,tt10035120,Drama
short,Cycle,2018,,tt10037162,Drama
short,The Accusation,2018,12.0,tt10037668,Drama
short,La última oportunidad,2018,3.0,tt10037600,Drama
short,The Best Man,2018,9.0,tt10042048,Drama
short,The Drifting Post,2018,5.0,tt10037910,Drama
movie,A Thin Life,2018,1.0,tt0111414,Comedy
movie,Nappily Ever After,2018,9.0,tt0365545,Comedy
movie,Super Troopers 2,2018,4.0,tt0859635,Comedy
short,Spice du Jour - Rencontre avec Nathan Bright B.C,2018,2.0,tt10003672,Comedy
short,The Mind's Eye,2018,8.0,tt10006452,Comedy
short,The Promise,2018,10.0,tt10006684,Comedy
short,Moscas,2018,12.0,tt10011220,Comedy
short,Skin Deep,2018,12.0,tt10021014,Comedy
short,Starcasters!,2018,12.0,tt10022258,Comedy
short,Freddy,2018,12.0,tt10022766,Comedy
short,The Big Pop,2018,5.0,tt10026726,Comedy
movie,Onsen shikabane geisha,2018,3.0,tt10027474,Comedy
short,Phebe's Crush,2018,9.0,tt10028630,Comedy
short,Shed,2018,9.0,tt10029026,Comedy
short,The Supreme Court,2018,10.0,tt10032562,Comedy
short,Artificial Intelligence,2018,1.0,tt10033636,Comedy
short,The Adventures of Smokey the Twink and Mark O'Rubio: The Movie,2018,12.0,tt10038732,Comedy
short,Naughty Mr. Claus,2018,4.0,tt10038068,Comedy
short,You Wanna Pizza Me,2018,10.0,tt10039232,Comedy
short,De oom op zoek naar mysterie (The Uncle in Search of Mystery),2018,5.0,tt10039976,Comedy
short,9862,2018,11.0,tt10039632,Comedy
short,Still Moves,2018,5.0,tt10049172,Comedy
short,The Love Story of Kosher,2018,12.0,tt10054310,Comedy
