Tipo,Nombre,Año,Mes,Id_pelicula,Genero
movie,El Tango del Viudo y Su Espejo Deformante,2020,2.0,tt0062336,Drama
movie,Love & Orgasms,2020,7.0,tt0383477,Drama
movie,Surviving in L.A.,2020,8.0,tt0446792,Drama
movie,Duel of Legends,2020,8.0,tt0849437,Drama
movie,Lost Girls and Love Hotels,2020,9.0,tt0920462,Drama
short,OFUKU: Separation,2020,12.0,tt10005120,Drama
movie,Jak najdalej stad,2020,8.0,tt10004368,Drama
movie,Kala azar,2020,8.0,tt10006160,Drama
short,Hear a No,2020,9.0,tt10006262,Drama
short,Satisfaction,2020,,tt10003588,Drama
movie,The Rental,2020,7.0,tt10003008,Drama
short,The Last Queen on Earth,2020,8.0,tt10005772,Drama
short,They Never Lie,2020,11.0,tt10008112,Drama
short,For the Best,2020,6.0,tt10010434,Drama
short,Salvage,2020,3.0,tt10010422,Drama
movie,Villa Caprice,2020,6.0,tt10019108,Drama
short,Anxietus,2020,9.0,tt10016332,Drama
movie,Seeru,2020,2.0,tt10022990,Drama
short,Drop,2020,10.0,tt10023074,Drama
movie,Passion simple,2020,8.0,tt10023172,Drama
movie,Sweet Face,2020,2.0,tt10022726,Drama
movie,Clean,2020,1.0,tt10023022,Drama
movie,Love Aaj Kal,2020,5.0,tt10023024,Drama
movie,Ringolevio,2020,11.0,tt10027720,Drama
short,Nairobi,2020,6.0,tt10028420,Drama
movie,Asia,2020,6.0,tt10032266,Drama
short,The Color of Midnight,2020,9.0,tt10032670,Drama
short,Whenever You're Ready,2020,4.0,tt10032352,Drama
short,Aur Kitna Time Lagega,2020,8.0,tt10031320,Drama
short,Before the Rooster Crows,2020,12.0,tt10031730,Drama
short,Portrait,2020,12.0,tt10037824,Drama
movie,Once a Year on Blackpool Sands,2020,4.0,tt10039338,Drama
short,"Post-You, Me",2020,7.0,tt10039526,Drama
short,Sylvia,2020,11.0,tt10038088,Drama
short,Sins Unveiled,2020,,tt10038014,Drama
short,Ein Man Stande,2020,4.0,tt10037766,Drama
movie,El verano que vivimos,2020,12.0,tt10042590,Drama
movie,El Suspiro del Silencio,2020,12.0,tt10043458,Drama
movie,A Escritora,2020,7.0,tt10039584,Drama
movie,Gonarezhou: The Movie,2020,2.0,tt10041978,Drama
movie,Luxor,2020,11.0,tt10039524,Drama
movie,They Who Surround Us,2020,8.0,tt10042622,Drama
short,The Aboves and the Belows,2020,12.0,tt10047998,Drama
movie,Cortex,2020,10.0,tt10056224,Drama
movie,Youngest,2020,,tt10055892,Drama
movie,Girlfriend's reunited,2020,7.0,tt10054604,Drama
short,Lavender,2020,8.0,tt10058872,Drama
movie,Lonesome Boy,2020,4.0,tt10058890,Drama
short,The Place of the Skull,2020,6.0,tt10061280,Drama
movie,Guilty,2020,3.0,tt10062614,Drama
short,Inner Self,2020,11.0,tt10058946,Drama
short,O Mundo Aqui Dentro,2020,6.0,tt10059532,Drama
short,La Lettre,2020,7.0,tt10059822,Drama
short,Francois,2020,7.0,tt10065226,Drama
movie,Antebellum,2020,9.0,tt10065694,Drama
short,32 Goldfish,2020,2.0,tt10065208,Drama
movie,Depois de Ser Cinza,2020,10.0,tt10066262,Drama
movie,Made in Abyss: Fukaki Tamashî no Reimei,2020,1.0,tt10068916,Drama
short,Journey,2020,12.0,tt10069486,Drama
short,Twins,2020,6.0,tt10069650,Drama
short,Footsteps,2020,,tt10073626,Drama
movie,Legjobb tudomásom szerint,2020,12.0,tt10073452,Drama
short,Días Negros,2020,6.0,tt10073872,Drama
movie,Classic Again,2020,2.0,tt10075442,Drama
short,The Exchange,2020,2.0,tt10074848,Drama
short,Love Lonely,2020,5.0,tt10078686,Drama
movie,Wild Grass,2020,8.0,tt10080092,Drama
movie,Breaking Surface,2020,2.0,tt10081762,Drama
movie,L'oiseau de paradis,2020,5.0,tt10081788,Drama
movie,Range of Sniper,2020,6.0,tt10082520,Drama
short,Man of the Harvest,2020,11.0,tt10086654,Drama
short,Nur ein Augenblick,2020,4.0,tt10092172,Drama
short,Boundaries,2020,10.0,tt10089810,Drama
movie,Adbhoot - ek dhandal saira vaira,2020,5.0,tt10092464,Drama
movie,La terre et le sang,2020,4.0,tt10092752,Drama
short,Recover,2020,1.0,tt10093672,Drama
movie,Pink Skies Ahead,2020,10.0,tt10095308,Drama
movie,Lan Se Lie Che,2020,10.0,tt10097346,Drama
movie,Manchurian Tiger,2020,,tt10097312,Drama
movie,Sudba,2020,10.0,tt10097386,Drama
movie,Guai wu xian sheng,2020,8.0,tt10097484,Drama
movie,Lian Qu 1980,2020,10.0,tt10097470,Drama
short,Cuckoo Roller,2020,6.0,tt10098068,Drama
movie,L'autre,2020,1.0,tt10098442,Drama
movie,Sunray,2020,7.0,tt10098042,Drama
movie,You Mean Everything to Me,2020,,tt10100196,Drama
short,Skeletons,2020,6.0,tt10098776,Drama
movie,La dona il·legal,2020,5.0,tt10101806,Drama
movie,Blindfire,2020,11.0,tt10103028,Drama
movie,Berliner,2020,10.0,tt10102402,Drama
movie,The Forgotten,2020,1.0,tt10102746,Drama
short,Dependence,2020,2.0,tt10105488,Drama
movie,Apples,2020,,tt10110614,Drama
short,Jericho,2020,,tt10106540,Drama
movie,Conversaciones,2020,11.0,tt10106082,Drama
short,The Burning of Mary,2020,6.0,tt10107260,Drama
movie,Kokon,2020,7.0,tt10107222,Drama
short,Road Runner,2020,2.0,tt10109698,Drama
