Tipo,Nombre,Año,Mes,Id_pelicula,Genero
movie,La fête espagnole,2019,1.0,tt0011216,Drama
movie,Sha Ou,2019,4.0,tt0083060,Drama
movie,Mariette in Ecstasy,2019,11.0,tt0116991,Drama
movie,Wo men fu fu zhi jian,2019,4.0,tt0339917,Drama
movie,Motherless Brooklyn,2019,12.0,tt0385887,Drama
movie,Danger Close: The Battle of Long Tan,2019,8.0,tt0441881,Drama
movie,The Last Full Measure,2019,7.0,tt0783640,Drama
movie,The Dirt,2019,3.0,tt0800325,Drama
movie,Dirt Music,2019,10.0,tt0810836,Drama
movie,Bolden,2019,5.0,tt0858419,Drama
short,Witness to Murder,2019,3.0,tt10005506,Drama
short,Good Friends,2019,,tt10005850,Drama
short,Voiceless,2019,12.0,tt10002568,Drama
short,Ludere,2019,6.0,tt10004822,Drama
movie,Child of Wisdom,2019,,tt10003990,Drama
short,Atonement,2019,4.0,tt10003828,Drama
movie,Pattabhiraman,2019,8.0,tt10002654,Drama
short,Facing Life,2019,3.0,tt10003492,Drama
movie,Ali the Blind Boxer,2019,10.0,tt10004074,Drama
short,For Ellis,2019,3.0,tt10005262,Drama
short,The Veil Removed,2019,12.0,tt10005520,Drama
movie,Paradise,2019,4.0,tt10004574,Drama
short,Riviera,2019,10.0,tt10005516,Drama
short,Destiny,2019,3.0,tt10006180,Drama
short,Along The Line,2019,3.0,tt10005186,Drama
short,Chadwick Manor,2019,3.0,tt10006764,Drama
short,Controlling Intentions,2019,6.0,tt10006412,Drama
short,The Chair,2019,4.0,tt10005028,Drama
short,FantasyLand,2019,1.0,tt10005198,Drama
movie,He's My Daddy Too,2019,11.0,tt10006276,Drama
short,El Barber,2019,2.0,tt10006640,Drama
short,Shakira,2019,12.0,tt10006238,Drama
movie,Barof 2019,2019,2.0,tt10005864,Drama
movie,"In Their Own Words, Billy the Kid & The Lincoln County War",2019,12.0,tt10005378,Drama
movie,Lucky Grandma,2019,5.0,tt10011336,Drama
short,Passage,2019,3.0,tt10013050,Drama
short,The Silver Lining,2019,3.0,tt10013166,Drama
short,Heaven,2019,5.0,tt10014950,Drama
movie,I Watched TV Show and Died from Blood,2019,3.0,tt10015644,Drama
short,Hanging on a Telephone,2019,,tt10014580,Drama
short,Piercing Stillness,2019,4.0,tt10014298,Drama
movie,Zabuti,2019,9.0,tt10014838,Drama
short,Bluefish,2019,1.0,tt10014708,Drama
short,Don Héctor,2019,1.0,tt10014564,Drama
movie,Kader Postasi,2019,12.0,tt10015248,Drama
short,La Hora Cero,2019,10.0,tt10015518,Drama
short,Dear Deer,2019,6.0,tt10016418,Drama
short,Help Me Help You,2019,2.0,tt10021666,Drama
short,The Strangers We Know,2019,7.0,tt10020968,Drama
short,The Girl In The Cellar,2019,9.0,tt10021928,Drama
movie,Nedunalvaadai,2019,3.0,tt10023080,Drama
short,I'd Die for This Family,2019,3.0,tt10021840,Drama
short,Morning Rain,2019,3.0,tt10022836,Drama
short,Enough Is Enough,2019,3.0,tt10021898,Drama
short,The Writer,2019,3.0,tt10022290,Drama
short,It's Stranger Than We Thought,2019,2.0,tt10021618,Drama
short,Noc v Mariandu,2019,2.0,tt10024186,Drama
short,Fragile Ghost,2019,1.0,tt10022744,Drama
short,S'échapper vers la Vie,2019,3.0,tt10022312,Drama
short,Kunst und die Freiheit,2019,1.0,tt10026606,Drama
short,Uber Oracle,2019,2.0,tt10022434,Drama
short,The Turnaround,2019,7.0,tt10022570,Drama
short,As Simple As Hello,2019,5.0,tt10027124,Drama
movie,Shazam!,2019,4.0,tt0448115,Comedy
movie,The Dirt,2019,3.0,tt0800325,Comedy
movie,Jadugar 2,2019,2.0,tt10003806,Comedy
short,Instrucciones para empezar a hablar gallego,2019,3.0,tt10002544,Comedy
short,NYET! - a Brexit UK Border Farce,2019,3.0,tt10003014,Comedy
movie,Jagtsæson,2019,10.0,tt10006270,Comedy
short,Guilty Bunch of Flowers,2019,4.0,tt10002862,Comedy
movie,Sifir: Etkisiz Eleman,2019,4.0,tt10007352,Comedy
movie,Snatchers,2019,2.0,tt10009030,Comedy
short,All Tied Up,2019,2.0,tt10010132,Comedy
short,Jay and Anna,2019,10.0,tt10006250,Comedy
short,New Things,2019,5.0,tt10009474,Comedy
movie,Picture Character,2019,4.0,tt10011302,Comedy
movie,Family Obligations,2019,6.0,tt10009434,Comedy
movie,Lucky Grandma,2019,5.0,tt10011336,Comedy
short,Irish Splash,2019,3.0,tt10012688,Comedy
movie,Out and About Movie 2: Las Vegas Adventure,2019,8.0,tt10013072,Comedy
short,How Father Lawrence Briefly Considered a Career in Landscaping,2019,3.0,tt10010836,Comedy
movie,My Neighbor Wants Me Dead,2019,3.0,tt10011244,Comedy
short,Under Cover Comic,2019,3.0,tt10010790,Comedy
movie,Trouble Makers,2019,1.0,tt10009342,Comedy
